ResState,PoWState,Workers
Alabama,Alaska,99
Alabama,Arizona,146
Alabama,Arkansas,285
Alabama,California,515
Alabama,Colorado,164
Alabama,Connecticut,18
Alabama,District of Columbia,239
Alabama,Florida,8796
Alabama,Georgia,46500
Alabama,Hawaii,52
Alabama,Idaho,12
Alabama,Illinois,341
Alabama,Indiana,289
Alabama,Iowa,150
Alabama,Kansas,71
Alabama,Kentucky,614
Alabama,Louisiana,2961
Alabama,Maine,37
Alabama,Maryland,140
Alabama,Massachusetts,269
Alabama,Michigan,349
Alabama,Minnesota,226
Alabama,Mississippi,13432
Alabama,Missouri,300
Alabama,Montana,51
Alabama,Nebraska,29
Alabama,Nevada,48
Alabama,New Hampshire,8
Alabama,New Jersey,195
Alabama,New Mexico,62
Alabama,New York,385
Alabama,North Carolina,644
Alabama,North Dakota,50
Alabama,Ohio,440
Alabama,Oklahoma,140
Alabama,Oregon,66
Alabama,Pennsylvania,484
Alabama,South Carolina,462
Alabama,South Dakota,8
Alabama,Tennessee,8281
Alabama,Texas,2121
Alabama,Utah,60
Alabama,Vermont,17
Alabama,Virginia,526
Alabama,Washington,185
Alabama,West Virginia,57
Alabama,Wisconsin,157
Alabama,Wyoming,71
Alaska,Arizona,30
Alaska,California,82
Alaska,Colorado,64
Alaska,Connecticut,3
Alaska,Delaware,20
Alaska,District of Columbia,42
Alaska,Florida,17
Alaska,Georgia,56
Alaska,Hawaii,23
Alaska,Idaho,10
Alaska,Indiana,10
Alaska,Kentucky,77
Alaska,Louisiana,48
Alaska,Maryland,4
Alaska,Michigan,30
Alaska,Minnesota,17
Alaska,Mississippi,9
Alaska,Montana,1
Alaska,Nebraska,38
Alaska,Nevada,50
Alaska,New Hampshire,11
Alaska,New Jersey,58
Alaska,New York,1
Alaska,North Dakota,46
Alaska,Oklahoma,7
Alaska,Oregon,13
Alaska,Pennsylvania,20
Alaska,South Dakota,33
Alaska,Tennessee,9
Alaska,Texas,80
Alaska,Utah,38
Alaska,Virginia,16
Alaska,Washington,257
Alaska,Wyoming,12
Arizona,Alabama,72
Arizona,Alaska,456
Arizona,Arkansas,124
Arizona,California,11208
Arizona,Colorado,1233
Arizona,Connecticut,119
Arizona,Delaware,16
Arizona,District of Columbia,215
Arizona,Florida,523
Arizona,Georgia,530
Arizona,Hawaii,192
Arizona,Idaho,289
Arizona,Illinois,990
Arizona,Indiana,253
Arizona,Iowa,280
Arizona,Kansas,212
Arizona,Kentucky,56
Arizona,Louisiana,218
Arizona,Maine,41
Arizona,Maryland,95
Arizona,Massachusetts,184
Arizona,Michigan,605
Arizona,Minnesota,756
Arizona,Mississippi,121
Arizona,Missouri,380
Arizona,Montana,200
Arizona,Nebraska,336
Arizona,Nevada,9210
Arizona,New Hampshire,40
Arizona,New Jersey,617
Arizona,New Mexico,3219
Arizona,New York,642
Arizona,North Carolina,162
Arizona,North Dakota,818
Arizona,Ohio,287
Arizona,Oklahoma,464
Arizona,Oregon,311
Arizona,Pennsylvania,686
Arizona,Rhode Island,13
Arizona,South Carolina,100
Arizona,South Dakota,139
Arizona,Tennessee,199
Arizona,Texas,2663
Arizona,Utah,2839
Arizona,Vermont,47
Arizona,Virginia,240
Arizona,Washington,1198
Arizona,West Virginia,20
Arizona,Wisconsin,376
Arizona,Wyoming,345
Arkansas,Alabama,123
Arkansas,Alaska,107
Arkansas,Arizona,283
Arkansas,California,519
Arkansas,Colorado,258
Arkansas,Delaware,4
Arkansas,District of Columbia,81
Arkansas,Florida,228
Arkansas,Georgia,263
Arkansas,Hawaii,12
Arkansas,Illinois,417
Arkansas,Indiana,246
Arkansas,Iowa,85
Arkansas,Kansas,349
Arkansas,Kentucky,252
Arkansas,Louisiana,2800
Arkansas,Maryland,77
Arkansas,Massachusetts,100
Arkansas,Michigan,103
Arkansas,Minnesota,118
Arkansas,Mississippi,2113
Arkansas,Missouri,5752
Arkansas,Montana,63
Arkansas,Nebraska,226
Arkansas,Nevada,26
Arkansas,New Jersey,67
Arkansas,New Mexico,12
Arkansas,New York,244
Arkansas,North Carolina,87
Arkansas,North Dakota,100
Arkansas,Ohio,362
Arkansas,Oklahoma,6531
Arkansas,Oregon,44
Arkansas,Pennsylvania,409
Arkansas,Rhode Island,22
Arkansas,South Carolina,78
Arkansas,South Dakota,48
Arkansas,Tennessee,9181
Arkansas,Texas,13290
Arkansas,Utah,9
Arkansas,Virginia,159
Arkansas,Washington,71
Arkansas,West Virginia,79
Arkansas,Wisconsin,131
Arkansas,Wyoming,34
California,Alabama,191
California,Alaska,734
California,Arizona,6599
California,Arkansas,327
California,Colorado,1587
California,Connecticut,469
California,Delaware,78
California,District of Columbia,856
California,Florida,1944
California,Georgia,1829
California,Hawaii,1402
California,Idaho,262
California,Illinois,3116
California,Indiana,460
California,Iowa,481
California,Kansas,556
California,Kentucky,213
California,Louisiana,872
California,Maine,169
California,Maryland,674
California,Massachusetts,1180
California,Michigan,873
California,Minnesota,895
California,Mississippi,232
California,Missouri,1002
California,Montana,353
California,Nebraska,638
California,Nevada,11641
California,New Hampshire,61
California,New Jersey,1352
California,New Mexico,613
California,New York,4938
California,North Carolina,791
California,North Dakota,391
California,Ohio,1154
California,Oklahoma,668
California,Oregon,3146
California,Pennsylvania,1607
California,Puerto Rico,126
California,Rhode Island,185
California,South Carolina,372
California,South Dakota,91
California,Tennessee,866
California,Texas,5623
California,Utah,1373
California,Vermont,41
California,Virginia,1450
