source,target,correlation
Alabama,Alaska,0.7160491646441953
Alabama,Arizona,0.9018867747571191
Alabama,Arkansas,0.9454646644488076
Alabama,California,0.9617327219642442
Alabama,Florida,0.8925100819937788
Alabama,Georgia,0.8311773524453692
Alabama,Iowa,0.7339901680535029
Alabama,Kentucky,0.8228663359453853
Alabama,Maine,0.8063556391259741
Alabama,Maryland,0.7113293482504939
Alabama,Minnesota,0.7455099932277424
Alabama,Mississippi,0.8991824237947406
Alabama,Missouri,0.7846854930207509
Alabama,Nevada,0.8937437798350331
Alabama,New Mexico,0.7904332185857672
Alabama,North Carolina,0.9662157846652863
Alabama,North Dakota,0.7221028421831693
Alabama,Oklahoma,0.8834074771394957
Alabama,Oregon,0.8849973187406934
Alabama,South Carolina,0.9428370540299706
Alabama,Tennessee,0.923304831861409
Alabama,Texas,0.9629138146895221
Alabama,Utah,0.9401261709189489
Alabama,Virginia,0.7849864330682759
Alabama,West Virginia,0.7235726746173795
Alabama,Wisconsin,0.8326611504574661
Alabama,Wyoming,0.7039855640252731
Alaska,Alabama,0.7160491646441953
Alaska,Arizona,0.75451160114507
Alaska,Arkansas,0.7858077083385988
Alaska,California,0.734144708473227
Alaska,Florida,0.8695247019452871
Alaska,Georgia,0.7124511487255597
Alaska,Idaho,0.755023390079742
Alaska,Missouri,0.7619206001053008
Alaska,Montana,0.7251172395631849
Alaska,Nevada,0.8400368476059491
Alaska,North Carolina,0.7262925507539124
Alaska,Oklahoma,0.7582649776821777
Alaska,Oregon,0.8424554630463789
Alaska,South Carolina,0.8279479562533089
Alaska,Tennessee,0.7185797990278291
Alaska,Texas,0.7513474347674789
Alaska,Utah,0.811447853858309
Alaska,Washington,0.779651318787132
Alaska,Wyoming,0.7066439009572156
Arizona,Alabama,0.9018867747571191
Arizona,Alaska,0.75451160114507
Arizona,Arkansas,0.9634533009852049
Arizona,California,0.8612314565694352
Arizona,Florida,0.8719602015618884
Arizona,Mississippi,0.7233117950381732
Arizona,Nevada,0.805369792851786
Arizona,North Carolina,0.9301939020085502
Arizona,Oklahoma,0.8014531373887438
Arizona,Oregon,0.864201654574421
