source,target,correlation
Alabama,Alaska,0.7576955458435868
Alabama,Arizona,0.8554981708513235
Alabama,Arkansas,0.8813129530774063
Alabama,California,0.9294818965550421
Alabama,Colorado,0.7328980631461562
Alabama,Connecticut,0.8741205215052676
Alabama,Delaware,0.9112150722674018
Alabama,District of Columbia,0.9369052686076167
Alabama,Georgia,0.922316987858411
Alabama,Idaho,0.7997725482489785
Alabama,Indiana,0.800573843212296
Alabama,Kansas,0.7262794602779394
Alabama,Kentucky,0.8089060117588527
Alabama,Louisiana,0.8397185440718892
Alabama,Maine,0.8968769433901576
Alabama,Maryland,0.9143758041713783
Alabama,Massachusetts,0.9097608630977456
Alabama,Michigan,0.7013548368619106
Alabama,Mississippi,0.9640342990179903
Alabama,Nevada,0.9379196648852436
Alabama,New Hampshire,0.9165954492098245
Alabama,New Jersey,0.852379768677534
Alabama,New Mexico,0.7514230110471483
Alabama,New York,0.9106805732475669
Alabama,North Carolina,0.9458994251728321
Alabama,Ohio,0.8652918542160556
Alabama,Oklahoma,0.8215050736506367
Alabama,Oregon,0.8821502158025132
Alabama,Pennsylvania,0.9115118901506074
Alabama,Rhode Island,0.8822986569401202
Alabama,South Carolina,0.8971531270046377
Alabama,Tennessee,0.9308180255494651
Alabama,Texas,0.9174865777793373
Alabama,Utah,0.7007051386802751
Alabama,Vermont,0.8730662414727096
Alabama,Virginia,0.923930919923213
Alabama,Washington,0.9153685147085837
Alabama,West Virginia,0.8753018372926257
Alaska,Alabama,0.7576955458435868
Alaska,Arkansas,0.9377287374301073
Alaska,Colorado,0.9798878413344609
Alaska,Connecticut,0.9455826765907982
Alaska,Delaware,0.852265139299432
Alaska,District of Columbia,0.8861841754411399
Alaska,Idaho,0.9718161347591
Alaska,Illinois,0.9556799922364959
Alaska,Indiana,0.9828272915435086
Alaska,Iowa,0.8338257228009306
Alaska,Kansas,0.96580075930376
Alaska,Kentucky,0.9792913681729625
Alaska,Maine,0.8444373896249265
Alaska,Maryland,0.9101419453726024
Alaska,Massachusetts,0.8989897510143865
Alaska,Michigan,0.9764358369482737
Alaska,Minnesota,0.9513628679852677
Alaska,Mississippi,0.703940280470594
Alaska,Missouri,0.9518169788050344
Alaska,Montana,0.9244309799089453
Alaska,Nebraska,0.9521762095490692
Alaska,Nevada,0.8693530307977472
Alaska,New Hampshire,0.8591875434015621
Alaska,New Jersey,0.9621894639770343
Alaska,New Mexico,0.9489944514764742
Alaska,New York,0.8847655555595008
Alaska,North Carolina,0.8355020136185674
Alaska,North Dakota,0.8010337097387005
Alaska,Ohio,0.9523380961620388
Alaska,Oklahoma,0.9389446398310852
Alaska,Oregon,0.9434992441000415
Alaska,Pennsylvania,0.904436446451125
Alaska,Rhode Island,0.9139196903462976
Alaska,South Dakota,0.8605696968266324
Alaska,Tennessee,0.8008545936659547
Alaska,Texas,0.7393637959218978
Alaska,Utah,0.9687198183664593
Alaska,Vermont,0.9151221518878007
Alaska,Virginia,0.8363183811409696
Alaska,Washington,0.9085555825758964
Alaska,West Virginia,0.938756193380201
Alaska,Wisconsin,0.8938447063049372
Alaska,Wyoming,0.9324428854255346
Arizona,Alabama,0.8554981708513235
Arizona,Arkansas,0.7153199410780369
Arizona,California,0.8734804130779674
Arizona,Connecticut,0.7408822810061865
Arizona,Delaware,0.8089767948317036
Arizona,District of Columbia,0.792236510177412
Arizona,Florida,0.8011893765555301
Arizona,Georgia,0.8173540768554843
Arizona,Louisiana,0.8233318872035642
Arizona,Maine,0.7923271445491229
Arizona,Maryland,0.7689293627364927
Arizona,Massachusetts,0.773355157277967
Arizona,Mississippi,0.8317589038595198
Arizona,Nevada,0.847784397810915
Arizona,New Hampshire,0.8077878713662088
Arizona,New Jersey,0.7246554315770817
Arizona,New York,0.7974897202950672
Arizona,North Carolina,0.831407018098513
Arizona,Ohio,0.7407027154666476
Arizona,Oregon,0.7639232500668016
Arizona,Pennsylvania,0.7926157081268427
Arizona,Rhode Island,0.7568367102060849
Arizona,South Carolina,0.9308107770644565
Arizona,Tennessee,0.7762285420463937
Arizona,Texas,0.858157416219013
Arizona,Vermont,0.7613692438759984
Arizona,Virginia,0.7547186512667103
Arizona,Washington,0.8081883977352021
Arizona,West Virginia,0.7208525371410905
Arkansas,Alabama,0.8813129530774063
Arkansas,Alaska,0.9377287374301073
Arkansas,Arizona,0.7153199410780369
Arkansas,California,0.7943036683628688
Arkansas,Colorado,0.9198553464490717
Arkansas,Connecticut,0.981248774445483
Arkansas,Delaware,0.9476456776614973
Arkansas,District of Columbia,0.9546865350792796
Arkansas,Georgia,0.7076999048780268
Arkansas,Idaho,0.9443196047900645
Arkansas,Illinois,0.8765059586262973
Arkansas,Indiana,0.9632335010412136
Arkansas,Iowa,0.7094050844996281
Arkansas,Kansas,0.9206486207891069
Arkansas,Kentucky,0.9640440855116987
Arkansas,Maine,0.955400692032979
Arkansas,Maryland,0.958856476686555
Arkansas,Massachusetts,0.9758526954377071
Arkansas,Michigan,0.9003924263507471
Arkansas,Minnesota,0.8593333647195529
Arkansas,Mississippi,0.8198402517440148
Arkansas,Missouri,0.895320248455274
Arkansas,Montana,0.8148713781978177
Arkansas,Nebraska,0.8504303201228538
Arkansas,Nevada,0.9202240424894725
Arkansas,New Hampshire,0.9569997409920529
Arkansas,New Jersey,0.9806143388339844
Arkansas,New Mexico,0.912864775110603
Arkansas,New York,0.9662653096615276
Arkansas,North Carolina,0.9405442260914885
Arkansas,Ohio,0.9703843429623782
Arkansas,Oklahoma,0.9706038851745231
Arkansas,Oregon,0.965342122569652
Arkansas,Pennsylvania,0.9735983321158956
Arkansas,Rhode Island,0.9664366404397596
Arkansas,South Dakota,0.7178548687040368
Arkansas,Tennessee,0.924985514465402
Arkansas,Texas,0.8205246085698596
Arkansas,Utah,0.9268385911955062
Arkansas,Vermont,0.9522724098205452
Arkansas,Virginia,0.936808805336945
Arkansas,Washington,0.9544571678113829
Arkansas,West Virginia,0.9853190235229543
Arkansas,Wisconsin,0.7851976025271533
Arkansas,Wyoming,0.8263463210328544
California,Alabama,0.9294818965550421
California,Arizona,0.8734804130779674
California,Arkansas,0.7943036683628688
California,Connecticut,0.795578921062576
California,Delaware,0.8900131492054503
California,District of Columbia,0.8767300428661772
California,Georgia,0.9257002297161303
California,Louisiana,0.743657775862533
California,Maine,0.8939039888358594
California,Maryland,0.827979200817078
California,Massachusetts,0.8621588540576987
California,Mississippi,0.904321777372406
California,Nevada,0.8522884152815784
California,New Hampshire,0.8934353818308559
California,New Jersey,0.7639364198706774
California,New York,0.8753484314221271
California,North Carolina,0.9178490483060676
California,Ohio,0.7732682749854266
California,Oklahoma,0.7222955904882128
California,Oregon,0.7828013452424994
California,Pennsylvania,0.8626550988082611
California,Rhode Island,0.8346856030975582
California,South Carolina,0.9027807837693017
California,Tennessee,0.9142424834918672
California,Texas,0.8408412405711683
California,Vermont,0.7888363880221719
California,Virginia,0.894377833292168
California,Washington,0.833591028193846
California,West Virginia,0.801417253919909
Colorado,Alabama,0.7328980631461562
Colorado,Alaska,0.9798878413344609
Colorado,Arkansas,0.9198553464490717
Colorado,Connecticut,0.929493665338946
Colorado,Delaware,0.822109442346371
Colorado,District of Columbia,0.8610743736866362
Colorado,Idaho,0.9576021640654869
Colorado,Illinois,0.9745431544667806
Colorado,Indiana,0.984658396069873
Colorado,Iowa,0.8794854323314197
Colorado,Kansas,0.987352890115089
Colorado,Kentucky,0.9631493370284753
Colorado,Maine,0.8301372499806822
Colorado,Maryland,0.906139520105904
Colorado,Massachusetts,0.8651424033168773
Colorado,Michigan,0.9954619750777509
Colorado,Minnesota,0.9857190621127857
Colorado,Missouri,0.9636894946673357
Colorado,Montana,0.9198805365300919
Colorado,Nebraska,0.9708701433442081
Colorado,Nevada,0.8675773401070768
Colorado,New Hampshire,0.8323779545752549
Colorado,New Jersey,0.954755765532723
Colorado,New Mexico,0.9720333719185597
Colorado,New York,0.8556090972049002
Colorado,North Carolina,0.7969951563573028
Colorado,North Dakota,0.8074423784132246
Colorado,Ohio,0.9544920262159913
Colorado,Oklahoma,0.9396166028181903
Colorado,Oregon,0.9400629655714837
Colorado,Pennsylvania,0.8835629270498555
Colorado,Rhode Island,0.896511958459876
Colorado,South Dakota,0.8488269884804375
Colorado,Tennessee,0.7702211325986413
Colorado,Texas,0.7573848494929435
Colorado,Utah,0.9774727843475189
Colorado,Vermont,0.9193623301245682
Colorado,Virginia,0.8018172633155525
Colorado,Washington,0.9133019288669346
Colorado,West Virginia,0.9273388256855749
Colorado,Wisconsin,0.8971484782787795
Colorado,Wyoming,0.9642666941995344
Connecticut,Alabama,0.8741205215052676
Connecticut,Alaska,0.9455826765907982
Connecticut,Arizona,0.7408822810061865
Connecticut,Arkansas,0.981248774445483
Connecticut,California,0.795578921062576
Connecticut,Colorado,0.929493665338946
Connecticut,Delaware,0.9601320471971782
Connecticut,District of Columbia,0.9656289241696199
Connecticut,Georgia,0.7020257742302908
Connecticut,Idaho,0.9361018894326937
Connecticut,Illinois,0.8813013704975872
Connecticut,Indiana,0.971948677668667
Connecticut,Iowa,0.7088690593471394
Connecticut,Kansas,0.9285585805610324
Connecticut,Kentucky,0.9678481960737836
Connecticut,Maine,0.9607956444199227
Connecticut,Maryland,0.9666835248485711
Connecticut,Massachusetts,0.98461329759858
Connecticut,Michigan,0.9116964102235277
Connecticut,Minnesota,0.8698613449485185
Connecticut,Mississippi,0.8123017553395182
Connecticut,Missouri,0.8857129075990119
Connecticut,Montana,0.8058148050880711
Connecticut,Nebraska,0.8516050317071429
Connecticut,Nevada,0.9227003398472162
Connecticut,New Hampshire,0.9720064820091249
Connecticut,New Jersey,0.990593994696829
Connecticut,New Mexico,0.919796825145178
Connecticut,New York,0.9759135937186392
Connecticut,North Carolina,0.9464522912425252
Connecticut,Ohio,0.9809803822160437
Connecticut,Oklahoma,0.9545628544416098
Connecticut,Oregon,0.970822274427967
Connecticut,Pennsylvania,0.985590638806739
Connecticut,Rhode Island,0.9780385734600074
Connecticut,South Dakota,0.7114368597700175
Connecticut,Tennessee,0.9117268752205999
Connecticut,Texas,0.8061514412383225
Connecticut,Utah,0.923268081919646
Connecticut,Vermont,0.9734921408286631
Connecticut,Virginia,0.9407828269513692
Connecticut,Washington,0.9653973285677728
Connecticut,West Virginia,0.9884833165583787
Connecticut,Wisconsin,0.7678431314912457
Connecticut,Wyoming,0.8275487501425631
Delaware,Alabama,0.9112150722674018
Delaware,Alaska,0.852265139299432
Delaware,Arizona,0.8089767948317036
Delaware,Arkansas,0.9476456776614973
Delaware,California,0.8900131492054503
Delaware,Colorado,0.822109442346371
Delaware,Connecticut,0.9601320471971782
Delaware,District of Columbia,0.9717944570303362
Delaware,Georgia,0.7735586366579564
Delaware,Idaho,0.8512341629357455
Delaware,Illinois,0.7406111350674092
Delaware,Indiana,0.8908286579976644
Delaware,Kansas,0.8236443836320695
Delaware,Kentucky,0.903066492286607
Delaware,Maine,0.9641312456387111
Delaware,Maryland,0.9565155696724214
Delaware,Massachusetts,0.9823599035147015
Delaware,Michigan,0.798648145277691
Delaware,Minnesota,0.7442457345136835
Delaware,Mississippi,0.8588362319768666
Delaware,Missouri,0.762670088894819
Delaware,Nebraska,0.7043025378394886
Delaware,Nevada,0.925208979096013
Delaware,New Hampshire,0.9920426826881762
Delaware,New Jersey,0.9486832919188064
Delaware,New Mexico,0.8371873206835359
Delaware,New York,0.9917405580896228
Delaware,North Carolina,0.9709121012237745
Delaware,Ohio,0.9428002587283626
Delaware,Oklahoma,0.9122290692164331
Delaware,Oregon,0.9467125186520741
Delaware,Pennsylvania,0.9879775789898537
Delaware,Rhode Island,0.9695101489190822
Delaware,South Carolina,0.7718047153761031
Delaware,Tennessee,0.9258913532094851
Delaware,Texas,0.8094112557169045
Delaware,Utah,0.8134289424108726
Delaware,Vermont,0.9447724043267667
Delaware,Virginia,0.9699233057535748
Delaware,Washington,0.9521489939191828
Delaware,West Virginia,0.9619990190774733
District of Columbia,Alabama,0.9369052686076167
District of Columbia,Alaska,0.8861841754411399
District of Columbia,Arizona,0.792236510177412
District of Columbia,Arkansas,0.9546865350792796
District of Columbia,California,0.8767300428661772
District of Columbia,Colorado,0.8610743736866362
District of Columbia,Connecticut,0.9656289241696199
District of Columbia,Delaware,0.9717944570303362
District of Columbia,Georgia,0.8179825779826807
District of Columbia,Idaho,0.8839247494322703
District of Columbia,Illinois,0.7844664311859122
District of Columbia,Indiana,0.9186220981635298
District of Columbia,Kansas,0.8555188300219801
District of Columbia,Kentucky,0.9250097304747689
District of Columbia,Louisiana,0.737714978279458
District of Columbia,Maine,0.9459599694854532
District of Columbia,Maryland,0.9803483053936418
District of Columbia,Massachusetts,0.9766895934964734
District of Columbia,Michigan,0.8416194300346913
District of Columbia,Minnesota,0.790424258473675
District of Columbia,Mississippi,0.9004770058889228
District of Columbia,Missouri,0.8033207961435852
District of Columbia,Nebraska,0.7473924839266024
District of Columbia,Nevada,0.9542803972973759
District of Columbia,New Hampshire,0.9741892861261902
District of Columbia,New Jersey,0.9567515229792036
District of Columbia,New Mexico,0.8627389718039263
District of Columbia,New York,0.9792058468712488
District of Columbia,North Carolina,0.9620875039850424
District of Columbia,Ohio,0.9554329849079459
District of Columbia,Oklahoma,0.9223603079917105
District of Columbia,Oregon,0.9650612323197085
District of Columbia,Pennsylvania,0.9830777578872935
District of Columbia,Rhode Island,0.9667678197007752
District of Columbia,South Carolina,0.7655768710600639
District of Columbia,Tennessee,0.9283614349187618
District of Columbia,Texas,0.8610104347508141
District of Columbia,Utah,0.8291770345394548
District of Columbia,Vermont,0.9591147687001595
District of Columbia,Virginia,0.9711890677308572
District of Columbia,Washington,0.9701624476520329
District of Columbia,West Virginia,0.9663645206730875
District of Columbia,Wyoming,0.7145735059600892
Florida,Arizona,0.8011893765555301
Florida,Georgia,0.7798489855221854
Florida,Louisiana,0.8667379691886693
Florida,Mississippi,0.7200622246734253
Florida,South Carolina,0.8335734190019392
Florida,Texas,0.8065423658894743
Georgia,Alabama,0.922316987858411
Georgia,Arizona,0.8173540768554843
Georgia,Arkansas,0.7076999048780268
Georgia,California,0.9257002297161303
Georgia,Connecticut,0.7020257742302908
Georgia,Delaware,0.7735586366579564
Georgia,District of Columbia,0.8179825779826807
Georgia,Florida,0.7798489855221854
Georgia,Louisiana,0.8330448494368878
Georgia,Maine,0.7731665034107309
Georgia,Maryland,0.7868933922607152
Georgia,Massachusetts,0.7586547516287725
Georgia,Mississippi,0.9389477232795442
Georgia,Nevada,0.8381026635272403
Georgia,New Hampshire,0.7788989503261521
Georgia,New York,0.7586816504502012
Georgia,North Carolina,0.8274337055205859
Georgia,Oregon,0.7194782406078686
Georgia,Pennsylvania,0.7627470954670715
Georgia,Rhode Island,0.7301239258315854
Georgia,South Carolina,0.8902303549434221
Georgia,Tennessee,0.8355460783239523
Georgia,Texas,0.8893378410717582
Georgia,Vermont,0.7136570600184245
Georgia,Virginia,0.8196900571659038
Georgia,Washington,0.7826517220926417
Georgia,West Virginia,0.7041636154324775
Idaho,Alabama,0.7997725482489785
Idaho,Alaska,0.9718161347591
Idaho,Arkansas,0.9443196047900645
Idaho,Colorado,0.9576021640654869
Idaho,Connecticut,0.9361018894326937
Idaho,Delaware,0.8512341629357455
Idaho,District of Columbia,0.8839247494322703
Idaho,Illinois,0.9356545941012581
Idaho,Indiana,0.9660639312518043
Idaho,Iowa,0.8114425157610003
Idaho,Kansas,0.950744947966503
Idaho,Kentucky,0.9552548749942317
Idaho,Maine,0.8531120618884085
Idaho,Maryland,0.9059677371280287
Idaho,Massachusetts,0.8962952689726845
Idaho,Michigan,0.9427286959778972
Idaho,Minnesota,0.9193108705382884
Idaho,Mississippi,0.7488766531222913
Idaho,Missouri,0.9334609029065394
Idaho,Montana,0.9146517466593919
Idaho,Nebraska,0.9265376076309043
Idaho,Nevada,0.8931733086737771
Idaho,New Hampshire,0.8617328849388621
Idaho,New Jersey,0.9458832311285202
Idaho,New Mexico,0.9410989290760766
