source,target,correlation
Alabama,Alaska,0.818834053180752
Alabama,Arizona,0.9200683168627396
Alabama,Arkansas,0.9709319561764898
Alabama,California,0.942384308384334
Alabama,Colorado,0.8417285891294117
Alabama,Connecticut,0.7647598794735541
Alabama,Delaware,0.8300440482069431
Alabama,Florida,0.9201318064203555
Alabama,Georgia,0.9424111770711847
Alabama,Hawaii,0.8865838575738907
Alabama,Idaho,0.7386838634528624
Alabama,Illinois,0.8308436284781614
Alabama,Indiana,0.8963874213324384
Alabama,Iowa,0.7775795882934905
Alabama,Kansas,0.9272608910844563
Alabama,Kentucky,0.9347610210302627
Alabama,Louisiana,0.925011919003079
Alabama,Massachusetts,0.8023656574569437
Alabama,Michigan,0.7365312239447647
Alabama,Minnesota,0.7544007401813985
Alabama,Mississippi,0.9581576479233463
Alabama,Missouri,0.92291976845284
Alabama,Montana,0.7085586979502807
Alabama,Nebraska,0.8165457877666352
Alabama,Nevada,0.9103889368427666
Alabama,New Hampshire,0.7950526545327757
Alabama,New Mexico,0.8670699369987982
Alabama,North Carolina,0.9663577164931267
Alabama,North Dakota,0.7340910398450333
Alabama,Ohio,0.8210153724444542
Alabama,Oklahoma,0.8878516924831236
Alabama,Oregon,0.9329716324571372
Alabama,Pennsylvania,0.8034197602910315
Alabama,Puerto Rico,0.7147969927373884
Alabama,Rhode Island,0.8676812162643884
Alabama,South Carolina,0.9675057395182897
Alabama,South Dakota,0.7430790553722879
Alabama,Tennessee,0.924806575498112
Alabama,Texas,0.9742921236389093
Alabama,Utah,0.9091494412985055
Alabama,Vermont,0.7507675458249311
Alabama,Virgin Islands,0.7108370340136049
Alabama,Virginia,0.900627061388098
Alabama,Washington,0.9198866275232492
Alabama,West Virginia,0.9013899725714625
Alabama,Wisconsin,0.8058276342158623
Alabama,Wyoming,0.8122137615841614
Alaska,Alabama,0.818834053180752
Alaska,Arizona,0.8044598351899145
Alaska,Arkansas,0.7797735773099201
Alaska,California,0.7723728932102146
Alaska,Colorado,0.8092688129301503
Alaska,Hawaii,0.7464175171571191
Alaska,Idaho,0.8880069832540829
Alaska,Indiana,0.8004512159862497
Alaska,Iowa,0.8153989023167063
Alaska,Kansas,0.8349550460762236
Alaska,Kentucky,0.911434061658527
Alaska,Michigan,0.7623465012305813
Alaska,Minnesota,0.8620073883369849
Alaska,Mississippi,0.7904454786084824
Alaska,Missouri,0.7979319516757135
Alaska,Montana,0.9093633498532575
Alaska,Nebraska,0.796411537821994
Alaska,Nevada,0.778935249364704
Alaska,New Hampshire,0.7798868710691362
Alaska,New Mexico,0.8734626120902326
Alaska,North Carolina,0.8526554287253342
Alaska,North Dakota,0.8438521922636698
Alaska,Ohio,0.7069394372171985
Alaska,Oklahoma,0.8722313700090145
Alaska,Oregon,0.9150506242498113
Alaska,Rhode Island,0.7638997959963575
Alaska,South Carolina,0.8231195371663463
Alaska,South Dakota,0.7415303522118464
Alaska,Tennessee,0.8442635287602875
Alaska,Texas,0.7917868933284405
Alaska,Utah,0.8336458135314705
Alaska,Vermont,0.7513485574450673
Alaska,Virginia,0.7392878206500594
Alaska,Washington,0.9015563254149118
Alaska,West Virginia,0.9216408431243026
Alaska,Wisconsin,0.7705948333834441
Alaska,Wyoming,0.9174238067294868
Arizona,Alabama,0.9200683168627396
Arizona,Alaska,0.8044598351899145
Arizona,Arkansas,0.928639410691473
Arizona,California,0.9619984234721518
Arizona,Colorado,0.8571392756528704
Arizona,Connecticut,0.7721761145921127
Arizona,Delaware,0.8289465852727304
Arizona,Florida,0.8159211783966898
Arizona,Georgia,0.8623472442367845
Arizona,Hawaii,0.8025148667457028
Arizona,Idaho,0.7348948352411432
Arizona,Illinois,0.8111710547287234
Arizona,Indiana,0.89893546942823
Arizona,Iowa,0.7887473995957315
Arizona,Kansas,0.9309973015892146
Arizona,Kentucky,0.8998262114331931
Arizona,Louisiana,0.8278611393882718
Arizona,Massachusetts,0.8135780463063261
Arizona,Michigan,0.7829064326355804
Arizona,Minnesota,0.8026593716011845
Arizona,Mississippi,0.8714784834587628
Arizona,Missouri,0.8850326031965112
Arizona,Montana,0.7088525163644573
Arizona,Nebraska,0.8535790627833075
Arizona,Nevada,0.9166386167482431
Arizona,New Hampshire,0.8853673037352235
Arizona,New Mexico,0.9229596101541975
Arizona,North Carolina,0.9423573730693865
Arizona,North Dakota,0.7240971667672168
Arizona,Ohio,0.8411095052144363
Arizona,Oklahoma,0.8897544537892164
Arizona,Oregon,0.8923165150459689
Arizona,Pennsylvania,0.8343942056273309
Arizona,Rhode Island,0.9071723799360429
Arizona,South Carolina,0.9242848035960982
Arizona,South Dakota,0.7250162188599786
Arizona,Tennessee,0.8621153911164952
Arizona,Texas,0.9278034091664722
Arizona,Utah,0.9339230658609817
Arizona,Vermont,0.8005611069951908
Arizona,Virginia,0.8828990359891993
Arizona,Washington,0.8900904543274729
Arizona,West Virginia,0.9034867101231522
Arizona,Wisconsin,0.8253100700884246
Arizona,Wyoming,0.7834645421219654
Arkansas,Alabama,0.9709319561764898
Arkansas,Alaska,0.7797735773099201
Arkansas,Arizona,0.928639410691473
Arkansas,California,0.9581480644160654
Arkansas,Colorado,0.8747913862268453
Arkansas,Connecticut,0.8149488978796615
Arkansas,Delaware,0.8647616037630799
Arkansas,Florida,0.9210200130672481
Arkansas,Georgia,0.9245108477256069
Arkansas,Hawaii,0.880496164543235
Arkansas,Idaho,0.7091786809731353
Arkansas,Illinois,0.8652134101162324
Arkansas,Indiana,0.9111130994804794
Arkansas,Iowa,0.7957883537041673
Arkansas,Kansas,0.950905462746507
Arkansas,Kentucky,0.907724423237604
Arkansas,Louisiana,0.9407673141506044
Arkansas,Massachusetts,0.8435710848269367
Arkansas,Michigan,0.7525682275387875
Arkansas,Minnesota,0.7551500708618301
Arkansas,Mississippi,0.9403348656660449
Arkansas,Missouri,0.9551194780178193
Arkansas,Nebraska,0.852016802639638
Arkansas,Nevada,0.9340669010477826
Arkansas,New Hampshire,0.8230026819068837
Arkansas,New Jersey,0.7036475851266714
Arkansas,New Mexico,0.8796513329200429
Arkansas,New York,0.7132509138657214
Arkansas,North Carolina,0.9597435300818996
Arkansas,North Dakota,0.7448936783168854
Arkansas,Ohio,0.8510155596351572
Arkansas,Oklahoma,0.8558971554218963
Arkansas,Oregon,0.9146767863568968
Arkansas,Pennsylvania,0.8361339607160512
Arkansas,Puerto Rico,0.7385035335793179
Arkansas,Rhode Island,0.9021336760389281
Arkansas,South Carolina,0.9516326378750646
Arkansas,South Dakota,0.7796379722373044
Arkansas,Tennessee,0.872951686026553
Arkansas,Texas,0.9712927538848388
Arkansas,Utah,0.9421311399690447
Arkansas,Vermont,0.7669013512922127
Arkansas,Virgin Islands,0.7325301247904232
Arkansas,Virginia,0.9147182355561341
Arkansas,Washington,0.8938107804670249
Arkansas,West Virginia,0.8761359291979183
Arkansas,Wisconsin,0.8544350687833459
Arkansas,Wyoming,0.7939226617257272
California,Alabama,0.942384308384334
California,Alaska,0.7723728932102146
California,Arizona,0.9619984234721518
California,Arkansas,0.9581480644160654
California,Colorado,0.8781169562728556
California,Connecticut,0.8360414678116316
California,Delaware,0.879195130518168
California,Florida,0.8729357838503581
California,Georgia,0.8979003150736818
California,Hawaii,0.8711224952195478
California,Illinois,0.8525193886014935
California,Indiana,0.8901347052529804
California,Iowa,0.7557601672088341
California,Kansas,0.9359642101209706
California,Kentucky,0.8872244269679553
California,Louisiana,0.8818935901718421
California,Massachusetts,0.8728745851281409
California,Michigan,0.7683970580447806
California,Minnesota,0.7535461322593762
California,Mississippi,0.9008047139408676
California,Missouri,0.908778155774663
California,Nebraska,0.8379312930801368
California,Nevada,0.9282725881030354
California,New Hampshire,0.8703808541944368
California,New Jersey,0.717609735633687
California,New Mexico,0.885341235452924
California,New York,0.7337831156361497
California,North Carolina,0.9635651826491852
California,Ohio,0.8390098272976089
California,Oklahoma,0.8558432129373247
California,Oregon,0.9108053813213822
California,Pennsylvania,0.8588915207695612
California,Puerto Rico,0.7297306992168058
California,Rhode Island,0.9416606115132888
California,South Carolina,0.9416120325823601
California,South Dakota,0.725803852141384
California,Tennessee,0.8641877268701383
California,Texas,0.950556435076008
California,Utah,0.9352677330019087
California,Vermont,0.7921788242564972
California,Virgin Islands,0.705646691423392
California,Virginia,0.9302395647434827
California,Washington,0.9105260358844798
California,West Virginia,0.8869164680503248
California,Wisconsin,0.8260348849767124
California,Wyoming,0.7364580655367967
Colorado,Alabama,0.8417285891294117
Colorado,Alaska,0.8092688129301503
Colorado,Arizona,0.8571392756528704
Colorado,Arkansas,0.8747913862268453
Colorado,California,0.8781169562728556
Colorado,Connecticut,0.8815910244735222
Colorado,Delaware,0.9139366399099171
Colorado,District of Columbia,0.7127886901309666
