source,target,correlation
Alabama,Arkansas,0.7815078344624096
Alabama,California,0.7482240815335846
Alabama,Florida,0.9039536553042736
Alabama,Georgia,0.7677954269841412
Alabama,Oklahoma,0.9059603303255317
Alabama,South Carolina,0.7891961607823895
Alabama,West Virginia,0.8174211133524747
Arkansas,Alabama,0.7815078344624096
Arkansas,Florida,0.7168398353601511
Arkansas,Kentucky,0.7935238570991916
Arkansas,Oklahoma,0.8580842977122447
Arkansas,Virginia,0.7079643122081827
Arkansas,West Virginia,0.7511076642446686
California,Alabama,0.7482240815335846
California,Florida,0.8347179572033017
California,Georgia,0.9404686578383726
California,Hawaii,0.8743874457214889
California,Idaho,0.7753126353728395
California,Louisiana,0.9161583396597155
California,Mississippi,0.9100745997262056
California,Missouri,0.8660581161625964
California,Nevada,0.9027765721490042
California,North Carolina,0.8965487232930711
California,Oklahoma,0.740117572577208
California,South Carolina,0.8952214555884873
California,Texas,0.9570391388870395
California,Virgin Islands,0.7299808864454111
California,Virginia,0.7832397650888447
California,Washington,0.9271116293165137
California,West Virginia,0.8203330588546695
Colorado,Illinois,0.7876434554878913
Colorado,Indiana,0.7591637556860659
Colorado,Iowa,0.774408096904722
Colorado,Massachusetts,0.8054130518254401
Colorado,Michigan,0.813200848604761
Colorado,Minnesota,0.8656161944315357
Colorado,New Hampshire,0.7133893598316818
Colorado,New Jersey,0.7299367424649195
Colorado,New Mexico,0.7345176433867076
Colorado,New York,0.7269033967951375
Colorado,North Dakota,0.809572357698274
Colorado,Ohio,0.7938824318905698
Colorado,Pennsylvania,0.8753968827583305
Colorado,South Dakota,0.7528943062246974
Colorado,Wisconsin,0.7120951698873986
Connecticut,Delaware,0.7722264886158418
Connecticut,District of Columbia,0.796118079420694
Connecticut,Illinois,0.9201608516172697
Connecticut,Indiana,0.8591838389028078
Connecticut,Iowa,0.7838789621745934
Connecticut,Maryland,0.8268982505276335
Connecticut,Massachusetts,0.9031981649603578
Connecticut,Nebraska,0.7272289390575349
Connecticut,New Jersey,0.9248942341265483
Connecticut,New York,0.9253213044949438
Connecticut,Ohio,0.8155785797364988
Connecticut,Pennsylvania,0.8223657809873735
Connecticut,South Dakota,0.7474649870188418
Delaware,Connecticut,0.7722264886158418
Delaware,Illinois,0.7239551129235772
Delaware,Indiana,0.7145203391255406
Delaware,Iowa,0.7279304892344607
Delaware,Massachusetts,0.7258612437913894
Delaware,Nebraska,0.7235497904344338
Delaware,New Jersey,0.7395274262633069
Delaware,New York,0.724063517531808
Delaware,South Dakota,0.7146037774412642
District of Columbia,Connecticut,0.796118079420694
District of Columbia,Illinois,0.8277018369042644
District of Columbia,Indiana,0.8189552585280648
District of Columbia,Iowa,0.7671117259092602
District of Columbia,Maryland,0.7406678987235367
District of Columbia,Massachusetts,0.7219664908495937
District of Columbia,Nebraska,0.7231238522295851
District of Columbia,New Jersey,0.8353273453926016
District of Columbia,New York,0.870578812015839
District of Columbia,Pennsylvania,0.7453034024191949
Florida,Alabama,0.9039536553042736
Florida,Arkansas,0.7168398353601511
Florida,California,0.8347179572033017
Florida,Georgia,0.8940844638577182
Florida,Kentucky,0.7078040429768421
Florida,Louisiana,0.7721469338659265
Florida,Mississippi,0.8015138709914456
Florida,Oklahoma,0.8646483270679667
Florida,South Carolina,0.8463501074252892
Florida,Texas,0.7572753675006708
Florida,Virginia,0.7876040293640594
Florida,West Virginia,0.8824940357505973
Georgia,Alabama,0.7677954269841412
Georgia,California,0.9404686578383726
Georgia,Florida,0.8940844638577182
Georgia,Hawaii,0.8466980792462708
Georgia,Idaho,0.7185718783424524
Georgia,Louisiana,0.9216548572991716
Georgia,Mississippi,0.8965746177467138
Georgia,Missouri,0.7362920663288449
Georgia,Nevada,0.8242183417602321
Georgia,North Carolina,0.8608840876818714
Georgia,Oklahoma,0.7869098188948032
Georgia,South Carolina,0.8419016029037225
Georgia,Texas,0.9215401157667459
Georgia,Virgin Islands,0.7445953079007768
Georgia,Virginia,0.8228232622540462
Georgia,Washington,0.8328530779017641
Georgia,West Virginia,0.8651903916320982
Hawaii,California,0.8743874457214889
Hawaii,Georgia,0.8466980792462708
Hawaii,Idaho,0.8896370398257618
Hawaii,Louisiana,0.8183228699135875
Hawaii,Mississippi,0.9275385912382812
Hawaii,Missouri,0.7429703994451156
Hawaii,Nevada,0.9052907341938681
Hawaii,North Carolina,0.930754867097303
Hawaii,South Carolina,0.8211106662633799
Hawaii,South Dakota,0.7275288158008414
Hawaii,Texas,0.9382451569731448
Hawaii,Virgin Islands,0.8369649861923488
Hawaii,Virginia,0.786997935257379
Hawaii,Washington,0.887926706284228
Hawaii,West Virginia,0.756388491513654
Idaho,California,0.7753126353728395
Idaho,Georgia,0.7185718783424524
Idaho,Hawaii,0.8896370398257618
Idaho,Iowa,0.7172389874632173
Idaho,Louisiana,0.7138091954363017
Idaho,Massachusetts,0.7230060915396895
Idaho,Mississippi,0.837286777438669
Idaho,Missouri,0.7349185118129407
Idaho,Nevada,0.8180137640820215
Idaho,North Carolina,0.9043000455154042
Idaho,Ohio,0.738068168996687
Idaho,South Dakota,0.7847509509227133
Idaho,Texas,0.8819299243242908
Idaho,Virgin Islands,0.809640073779266
Idaho,Virginia,0.7172386762222472
Idaho,Washington,0.8048288816402315
Illinois,Colorado,0.7876434554878913
Illinois,Connecticut,0.9201608516172697
Illinois,Delaware,0.7239551129235772
Illinois,District of Columbia,0.8277018369042644
Illinois,Indiana,0.9457847467047583
Illinois,Iowa,0.8593884304175459
Illinois,Maryland,0.8867529449923035
Illinois,Massachusetts,0.9597220109092803
Illinois,Michigan,0.8167502830535978
Illinois,Minnesota,0.8114026343295915
Illinois,New Hampshire,0.7748183445344528
Illinois,New Jersey,0.9720064379901521
Illinois,New Mexico,0.7196684165058451
Illinois,New York,0.9693115997825694
Illinois,North Dakota,0.7515299636947159
Illinois,Ohio,0.9023265218120763
Illinois,Pennsylvania,0.9297600457819476
Illinois,South Dakota,0.7794790176613456
Indiana,Colorado,0.7591637556860659
Indiana,Connecticut,0.8591838389028078
