source,target,correlation
Alabama,Arizona,0.9372015250334826
Alabama,Arkansas,0.8975023834933422
Alabama,California,0.9786945689114427
Alabama,Colorado,0.8653528440937377
Alabama,Connecticut,0.8037792239430628
Alabama,Delaware,0.9345907061496207
Alabama,District of Columbia,0.8924921967996519
Alabama,Florida,0.9629695066646848
Alabama,Georgia,0.9664458838793203
Alabama,Illinois,0.9633997084212149
Alabama,Indiana,0.9166196145734538
Alabama,Iowa,0.9072970206007426
Alabama,Kansas,0.8404391307061767
Alabama,Kentucky,0.9565224272944255
Alabama,Louisiana,0.734859540636653
Alabama,Maine,0.8169785729036817
Alabama,Maryland,0.9407658343690994
Alabama,Massachusetts,0.8695955290026008
Alabama,Michigan,0.717268928189037
Alabama,Minnesota,0.9423346899303965
Alabama,Mississippi,0.9443396142378905
Alabama,Missouri,0.9530479424747904
Alabama,Nebraska,0.9513716793508014
Alabama,Nevada,0.8575111446277618
Alabama,New Hampshire,0.9298836934693298
Alabama,New Jersey,0.7890746161703637
Alabama,New Mexico,0.9545030935793891
Alabama,North Carolina,0.9693433692427188
Alabama,North Dakota,0.9186692987061993
Alabama,Ohio,0.9578106094202525
Alabama,Oklahoma,0.8055000520549214
Alabama,Oregon,0.8485708184444366
Alabama,Pennsylvania,0.895142191026408
Alabama,Rhode Island,0.7136531004996065
Alabama,South Carolina,0.9463240590398112
Alabama,South Dakota,0.8485835565049328
Alabama,Tennessee,0.8871048815394864
Alabama,Texas,0.9686268730244557
Alabama,Utah,0.9702721033568872
Alabama,Virginia,0.9238133822776811
Alabama,West Virginia,0.8943037316298504
Alabama,Wisconsin,0.8980029172091087
Alaska,Louisiana,0.7048911990614122
Alaska,New York,0.7719043983734949
Alaska,Vermont,0.7004247930215745
Alaska,Washington,0.7861150454906618
Arizona,Alabama,0.9372015250334826
Arizona,Arkansas,0.9288158719161936
Arizona,California,0.9061534329834614
Arizona,Colorado,0.7232257975969796
Arizona,Delaware,0.8498294740925161
Arizona,District of Columbia,0.7517470606060626
Arizona,Florida,0.8844000538387343
Arizona,Georgia,0.8884495687711976
Arizona,Illinois,0.89373759612085
Arizona,Indiana,0.7879128183148153
Arizona,Iowa,0.9359170569649669
Arizona,Kansas,0.7172287859483355
Arizona,Kentucky,0.879114583599153
Arizona,Maine,0.7016774806838447
Arizona,Maryland,0.8422305499166197
Arizona,Massachusetts,0.7104144741112515
Arizona,Minnesota,0.9365552906084226
Arizona,Mississippi,0.9700960029297044
Arizona,Missouri,0.901515217378152
Arizona,Nebraska,0.9452260296250644
Arizona,Nevada,0.7162861023372455
Arizona,New Hampshire,0.9645861513236489
Arizona,New Mexico,0.9392022300731485
Arizona,North Carolina,0.946312349855976
Arizona,North Dakota,0.909059734977468
Arizona,Ohio,0.8972754241511142
Arizona,Oregon,0.7104975405537594
Arizona,Pennsylvania,0.7833842087871774
Arizona,Rhode Island,0.7624340210067161
Arizona,South Carolina,0.8766366169343182
Arizona,South Dakota,0.9100403008181149
Arizona,Tennessee,0.8533713288621722
Arizona,Texas,0.9133461968704948
Arizona,Utah,0.9303571483423653
Arizona,Virginia,0.8692809384588926
Arizona,West Virginia,0.7523394575965734
Arizona,Wisconsin,0.8232001755279058
Arkansas,Alabama,0.8975023834933422
Arkansas,Arizona,0.9288158719161936
Arkansas,California,0.8681760725192624
Arkansas,Delaware,0.756776131762841
Arkansas,Florida,0.8559817251945571
Arkansas,Georgia,0.8821783673557234
Arkansas,Illinois,0.8128451436720555
Arkansas,Indiana,0.7615396059292571
Arkansas,Iowa,0.8265938891742795
Arkansas,Kansas,0.7357466099395448
Arkansas,Kentucky,0.8846266592376428
Arkansas,Maryland,0.7807464761367127
Arkansas,Minnesota,0.8531599121292571
Arkansas,Mississippi,0.8887123868199504
Arkansas,Missouri,0.8535725651056472
Arkansas,Nebraska,0.8899546559864843
Arkansas,New Hampshire,0.8667965441916358
Arkansas,New Mexico,0.8516136615428338
Arkansas,North Carolina,0.8994306516786896
Arkansas,North Dakota,0.8174783560925906
Arkansas,Ohio,0.8179400257061251
Arkansas,Oregon,0.754172621703134
Arkansas,Pennsylvania,0.7046928917904431
Arkansas,Rhode Island,0.7117314561033058
Arkansas,South Carolina,0.8903908912091145
Arkansas,South Dakota,0.8796892668855634
Arkansas,Tennessee,0.8797213257974922
Arkansas,Texas,0.876726003388226
Arkansas,Utah,0.884649902389514
Arkansas,Virginia,0.7786711890973371
Arkansas,West Virginia,0.7165980558614554
Arkansas,Wisconsin,0.8147554629134149
California,Alabama,0.9786945689114427
California,Arizona,0.9061534329834614
California,Arkansas,0.8681760725192624
California,Colorado,0.9098994618792486
California,Connecticut,0.8619097931654272
California,Delaware,0.9364024392314495
California,District of Columbia,0.9084853175827039
California,Florida,0.9839188291047637
California,Georgia,0.9852300590189177
California,Idaho,0.7595678402460103
California,Illinois,0.9747693867777751
California,Indiana,0.953392273080215
California,Iowa,0.8834003641979034
California,Kansas,0.8752410703147356
California,Kentucky,0.976734457929404
California,Louisiana,0.8120317248093539
California,Maine,0.884355149815188
California,Maryland,0.9543895958026728
California,Massachusetts,0.9084572754485049
California,Michigan,0.7987244045214124
California,Minnesota,0.9265937361471206
California,Mississippi,0.9399926099682795
California,Missouri,0.9660150567153125
California,Nebraska,0.9336689408598643
California,Nevada,0.9065851205441255
California,New Hampshire,0.8961999891339957
California,New Jersey,0.8487864018558894
California,New Mexico,0.9317586197491827
California,North Carolina,0.9629290512687413
California,North Dakota,0.9197743530179935
California,Ohio,0.970626955762197
California,Oklahoma,0.866907344536864
California,Oregon,0.8899440086893267
California,Pennsylvania,0.9184764736175562
California,Rhode Island,0.7121542205972444
California,South Carolina,0.9420454353277479
California,South Dakota,0.8022057323107884
California,Tennessee,0.8996826525913798
California,Texas,0.9872310902949507
California,Utah,0.9646847672512776
California,Virginia,0.9280620163044743
California,West Virginia,0.918608012041645
California,Wisconsin,0.9378706005191054
California,Wyoming,0.7287801056177688
Colorado,Alabama,0.8653528440937377
Colorado,Arizona,0.7232257975969796
Colorado,California,0.9098994618792486
Colorado,Connecticut,0.9271597808017991
Colorado,Delaware,0.9164940953739521
Colorado,District of Columbia,0.9361512898228319
Colorado,Florida,0.9028713919959209
Colorado,Georgia,0.8900453146516636
Colorado,Idaho,0.796170379234368
Colorado,Illinois,0.9215943509440147
Colorado,Indiana,0.9412744992416064
Colorado,Iowa,0.7345121520615437
Colorado,Kansas,0.8122562782831474
Colorado,Kentucky,0.8786741856709699
Colorado,Louisiana,0.8737007363656465
Colorado,Maine,0.8660619602075522
Colorado,Maryland,0.9122880957043074
Colorado,Massachusetts,0.9305489540753406
Colorado,Michigan,0.8542814815498272
Colorado,Minnesota,0.7917097936379417
Colorado,Mississippi,0.7881761831522445
Colorado,Missouri,0.8991476691352898
Colorado,Nebraska,0.8098932385928644
Colorado,Nevada,0.9461940831364731
Colorado,New Hampshire,0.7476416379510784
Colorado,New Jersey,0.8986072025622416
Colorado,New Mexico,0.8334787358586738
Colorado,North Carolina,0.821743969529651
Colorado,North Dakota,0.788423225994912
Colorado,Ohio,0.9035506626057905
Colorado,Oklahoma,0.9163113508555736
Colorado,Oregon,0.8695550038447571
Colorado,Pennsylvania,0.9123715095144947
Colorado,South Carolina,0.8278874970519415
Colorado,Tennessee,0.7817811302226753
Colorado,Texas,0.901740618343841
Colorado,Utah,0.849295833587592
