source,target,correlation
Alabama,Colorado,0.8015809067806571
Alabama,Connecticut,0.7239207885021676
Alabama,Idaho,0.8089808056771094
Alabama,Illinois,0.709751832136729
Alabama,Indiana,0.7221904630662405
Alabama,Iowa,0.7533088997153209
Alabama,Maine,0.7902394589225874
Alabama,Maryland,0.7109533184513026
Alabama,Michigan,0.7705376222515724
Alabama,Minnesota,0.7365680235589976
Alabama,Nebraska,0.7352614580629647
Alabama,Nevada,0.8298750286277535
Alabama,New Mexico,0.7990502637324807
Alabama,New York,0.7301596980077155
Alabama,Ohio,0.7939783098918332
Alabama,Oklahoma,0.7164070143822912
Alabama,Oregon,0.8271397040363179
Alabama,Pennsylvania,0.7643273548127061
Alabama,Tennessee,0.700063122264127
Alabama,Texas,0.7245859790913017
Alabama,Utah,0.8450395357911519
Alabama,Vermont,0.7872045155770896
Alabama,Washington,0.875896854147062
Alabama,West Virginia,0.7427067881961202
Alabama,Wyoming,0.7187506555481354
Alaska,Arkansas,0.7539780034797161
Alaska,Colorado,0.9107660333051526
Alaska,Connecticut,0.8725362347894212
Alaska,Idaho,0.8582593325441087
Alaska,Illinois,0.8619269722543524
Alaska,Indiana,0.9085078171305684
Alaska,Iowa,0.9145356830555892
Alaska,Kansas,0.8885633361460232
Alaska,Kentucky,0.9069005839255394
Alaska,Maine,0.8528406567177236
Alaska,Maryland,0.8075889009916382
Alaska,Massachusetts,0.7606052214925004
Alaska,Michigan,0.9001002061888105
Alaska,Minnesota,0.8858188413067897
Alaska,Missouri,0.8566988328989437
Alaska,Montana,0.7452873755825323
Alaska,Nebraska,0.891252767006662
Alaska,Nevada,0.7304391687802658
Alaska,New Hampshire,0.7198960620939461
Alaska,New Mexico,0.8688433589470229
Alaska,New York,0.784787600321065
Alaska,North Carolina,0.8035163049226501
Alaska,North Dakota,0.784494698149659
Alaska,Ohio,0.8787748142168097
Alaska,Oklahoma,0.9066591105433053
Alaska,Oregon,0.8961017286512034
Alaska,Pennsylvania,0.9139202345735211
Alaska,South Dakota,0.8441738320810994
Alaska,Tennessee,0.8708782246803919
Alaska,Utah,0.8084788825535205
Alaska,Vermont,0.8763052345503388
Alaska,Washington,0.8337708143853075
Alaska,West Virginia,0.8951813453626023
Alaska,Wisconsin,0.7888718921999319
Alaska,Wyoming,0.8563808464952989
Arkansas,Alaska,0.7539780034797161
Arkansas,Idaho,0.737975155655704
Arkansas,Indiana,0.7287518018173123
Arkansas,Iowa,0.762500203909991
Arkansas,Kansas,0.8645286119906224
Arkansas,Kentucky,0.7656802730837922
Arkansas,Minnesota,0.7097823717136522
Arkansas,Missouri,0.8539205360320528
Arkansas,North Carolina,0.8318442396995563
Arkansas,North Dakota,0.7846068207556772
Arkansas,Oklahoma,0.8291328855948034
Arkansas,Oregon,0.7093681087460136
Arkansas,South Dakota,0.7022983122997651
Arkansas,Tennessee,0.8648001241358769
Arkansas,West Virginia,0.8362057655312757
California,Mississippi,0.9032135735003731
California,Nevada,0.7865452508275506
California,Texas,0.7620540453937523
Colorado,Alabama,0.8015809067806571
Colorado,Alaska,0.9107660333051526
Colorado,Connecticut,0.9686533091654064
