source,target,correlation
Alabama,Arizona,0.7566366339769095
Alabama,California,0.8176912848963725
Alabama,Florida,0.7365928671749247
Alabama,Georgia,0.8564835507652273
Alabama,Mississippi,0.7136368026742202
Alabama,Nevada,0.7884372684050509
Alabama,North Carolina,0.8707034562888248
Alabama,Oklahoma,0.7824141665303902
Alabama,South Carolina,0.8475963370787052
Alabama,Tennessee,0.7843403366618718
Alabama,Texas,0.8553942602007523
Alaska,Idaho,0.7541428622862466
Arizona,Alabama,0.7566366339769095
Arizona,California,0.8701910362620834
Arizona,Kansas,0.7065775391078758
Arizona,Nevada,0.8168432966126907
Arizona,New Hampshire,0.7033602415723708
Arizona,New Mexico,0.7563865508204024
Arizona,North Carolina,0.7710021448492853
Arizona,South Carolina,0.7055020095918385
Arizona,Tennessee,0.7984669482149708
Arizona,Texas,0.7476399169433524
Arizona,Utah,0.7071045253362808
Arkansas,Kansas,0.7978906476564399
Arkansas,Mississippi,0.7770189009622231
Arkansas,Missouri,0.8780816487745062
Arkansas,Nevada,0.8475859260450146
Arkansas,New Mexico,0.7338093240473582
Arkansas,North Carolina,0.7837803099460252
Arkansas,Oklahoma,0.775662182754099
Arkansas,South Carolina,0.7176375955547136
Arkansas,Tennessee,0.8495167199947748
Arkansas,Texas,0.7639922958241073
Arkansas,Utah,0.7547602208454693
Arkansas,West Virginia,0.7291329855759298
California,Alabama,0.8176912848963725
California,Arizona,0.8701910362620834
California,Georgia,0.7380864130319669
California,Nevada,0.7995462385603468
California,North Carolina,0.8166165538361364
California,South Carolina,0.7266702509077763
California,Tennessee,0.7525353408507207
California,Texas,0.7867169805229707
Colorado,Illinois,0.7964783088315598
Colorado,Indiana,0.849964955931301
Colorado,Iowa,0.7607276420805242
Colorado,Michigan,0.8384470331622278
Colorado,Minnesota,0.9177897475466019
Colorado,Nebraska,0.7655233726786772
Colorado,New Hampshire,0.7111752914324487
Colorado,New Mexico,0.7801714165934608
Colorado,Pennsylvania,0.8300947772526328
Colorado,South Dakota,0.7260114039868402
Colorado,Wisconsin,0.760672825365431
Colorado,Wyoming,0.7335401713971168
Connecticut,District of Columbia,0.909529318103415
Connecticut,Maryland,0.7892424837423316
Connecticut,Massachusetts,0.9555258975543022
Connecticut,New Jersey,0.9564507891537749
Connecticut,New York,0.785228700575866
Delaware,Maryland,0.7277096908631135
District of Columbia,Connecticut,0.909529318103415
District of Columbia,Maryland,0.7558320210767226
District of Columbia,Massachusetts,0.9313167855623342
District of Columbia,New Jersey,0.8989998800332238
Florida,Alabama,0.7365928671749247
Florida,Georgia,0.8196337314953606
Florida,North Carolina,0.7436927684897702
Florida,Oklahoma,0.7091116496803842
Florida,South Carolina,0.8017138536944055
Florida,Texas,0.7649187348664671
Georgia,Alabama,0.8564835507652273
Georgia,California,0.7380864130319669
Georgia,Florida,0.8196337314953606
Georgia,Mississippi,0.7505160449189201
Georgia,Nevada,0.7332981741891602
Georgia,North Carolina,0.9032350091485569
Georgia,Oklahoma,0.8285663593057132
Georgia,South Carolina,0.893752874779075
Georgia,Tennessee,0.7228674239482048
Georgia,Texas,0.8883951013734668
Georgia,Washington,0.7488990445259583
Georgia,West Virginia,0.7063263877817193
Hawaii,Idaho,0.7497605673606458
Hawaii,Washington,0.7379566505875658
Idaho,Alaska,0.7541428622862466
Idaho,Hawaii,0.7497605673606458
Idaho,Kentucky,0.709185443290297
Idaho,Montana,0.8064089689898905
Idaho,North Carolina,0.7084519249998665
Idaho,Oklahoma,0.7292555323635954
Idaho,Oregon,0.7914727626369057
Idaho,Texas,0.7028192221139995
Idaho,Utah,0.7627026010076365
Idaho,Washington,0.805452403304729
Idaho,West Virginia,0.8693182079067412
Idaho,Wyoming,0.8536372837305595
Illinois,Colorado,0.7964783088315598
Illinois,Indiana,0.8644977853066685
Illinois,Iowa,0.7671570239878085
Illinois,Maryland,0.8167648444806291
Illinois,Michigan,0.75725662049936
Illinois,Minnesota,0.8517287421567519
Illinois,Nebraska,0.8379183800564413
Illinois,New Mexico,0.7925623857622142
Illinois,Pennsylvania,0.8564060909583591
Illinois,South Dakota,0.7779850935844339
Illinois,Wisconsin,0.7370254932339089
Indiana,Colorado,0.849964955931301
Indiana,Illinois,0.8644977853066685
Indiana,Iowa,0.7858035895864667
Indiana,Kansas,0.7621600609136828
Indiana,Maryland,0.7671414528413512
Indiana,Michigan,0.807277405987798
Indiana,Minnesota,0.873915970272515
Indiana,Missouri,0.7937046218878324
Indiana,Nebraska,0.8059582215393676
Indiana,Nevada,0.7170061656794132
Indiana,New Hampshire,0.7948882286486644
Indiana,New Mexico,0.8850048009421093
Indiana,Ohio,0.8211067001957356
Indiana,Pennsylvania,0.8825455170747347
Indiana,South Dakota,0.730128182593367
Indiana,Tennessee,0.7558979492455558
Indiana,Utah,0.7499298402261608
Indiana,Vermont,0.7281665347572491
Indiana,Washington,0.757918632029016
Indiana,Wisconsin,0.8243032428294752
Iowa,Colorado,0.7607276420805242
Iowa,Illinois,0.7671570239878085
Iowa,Indiana,0.7858035895864667
Iowa,Kansas,0.7617251257879711
Iowa,Minnesota,0.8229713149249815
Iowa,Missouri,0.7618831107874441
Iowa,Nebraska,0.869647502946168
Iowa,Nevada,0.7104709539960442
Iowa,New Mexico,0.8377556593325829
Iowa,North Dakota,0.7027284274942205
Iowa,Pennsylvania,0.7481167618292138
Iowa,South Dakota,0.8401846652222813
Iowa,Tennessee,0.7529596361612315
Iowa,Utah,0.7063042504544825
Iowa,Wisconsin,0.7933855922617595
Kansas,Arizona,0.7065775391078758
Kansas,Arkansas,0.7978906476564399
Kansas,Indiana,0.7621600609136828
Kansas,Iowa,0.7617251257879711
Kansas,Missouri,0.8379969386974135
Kansas,Nebraska,0.742477525711003
Kansas,Nevada,0.8165338969690338
Kansas,New Mexico,0.8188464181062638
Kansas,North Carolina,0.7755626494285772
Kansas,Oklahoma,0.7251949563794206
Kansas,South Dakota,0.7165845585138698
Kansas,Tennessee,0.8211492835254367
Kansas,Utah,0.8282002446782718
Kansas,Washington,0.7204883917327088
Kansas,West Virginia,0.7483660302968133
Kansas,Wisconsin,0.7684858695062233
Kansas,Wyoming,0.7359707412270843
