,date,county,state,GEOID,cases,deaths,NAME,POPESTIMATE2020,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS,USUALLY,SELDOM,cases_per_100k
0,2020-07-14,Autauga,Alabama,01001,746,18.0,Autauga,58877,0.053,0.074,0.134,0.295,0.444,0.739,0.127,1267.0482531378977
1,2020-07-14,Baldwin,Alabama,01003,1414,12.0,Baldwin,233140,0.083,0.059,0.098,0.323,0.436,0.759,0.14200000000000002,606.502530668268
2,2020-07-14,Barbour,Alabama,01005,428,3.0,Barbour,25180,0.067,0.121,0.12,0.201,0.491,0.692,0.188,1699.761715647339
3,2020-07-14,Bibb,Alabama,01007,236,2.0,Bibb,22223,0.02,0.034,0.096,0.278,0.572,0.85,0.054000000000000006,1061.9628313009046
4,2020-07-14,Blount,Alabama,01009,366,1.0,Blount,59081,0.053,0.114,0.18,0.194,0.459,0.653,0.167,619.4884988405748
5,2020-07-14,Bullock,Alabama,01011,385,11.0,Bullock,10309,0.031,0.04,0.144,0.286,0.5,0.786,0.07100000000000001,3734.600834222524
6,2020-07-14,Butler,Alabama,01013,661,31.0,Butler,19045,0.102,0.053,0.257,0.137,0.451,0.5880000000000001,0.155,3470.7272249934367
7,2020-07-14,Calhoun,Alabama,01015,589,6.0,Calhoun,116266,0.152,0.108,0.13,0.167,0.442,0.609,0.26,506.5969414962242
8,2020-07-14,Chambers,Alabama,01017,712,32.0,Chambers,34678,0.117,0.037,0.15,0.136,0.56,0.6960000000000001,0.154,2053.174923582675
9,2020-07-14,Cherokee,Alabama,01019,140,7.0,Cherokee,24958,0.135,0.027,0.161,0.158,0.52,0.678,0.162,560.9423832037824
10,2020-07-14,Chilton,Alabama,01021,366,4.0,Chilton,45024,0.06,0.07,0.058,0.194,0.618,0.812,0.13,812.8997867803838
11,2020-07-14,Choctaw,Alabama,01023,223,12.0,Choctaw,12619,0.049,0.038,0.126,0.219,0.568,0.7869999999999999,0.087,1767.176479911245
12,2020-07-14,Clarke,Alabama,01025,330,6.0,Clarke,22995,0.049,0.088,0.164,0.268,0.43,0.698,0.137,1435.0945857795173
13,2020-07-14,Clay,Alabama,01027,92,2.0,Clay,14193,0.148,0.158,0.195,0.169,0.329,0.498,0.306,648.2068625378707
14,2020-07-14,Cleburne,Alabama,01029,53,1.0,Cleburne,15035,0.151,0.125,0.138,0.217,0.368,0.585,0.276,352.5108081143997
15,2020-07-14,Coffee,Alabama,01031,461,4.0,Coffee,53565,0.101,0.152,0.094,0.186,0.466,0.652,0.253,860.6366097265005
16,2020-07-14,Colbert,Alabama,01033,592,6.0,Colbert,57236,0.082,0.096,0.152,0.159,0.51,0.669,0.178,1034.3140680690474
17,2020-07-14,Conecuh,Alabama,01035,250,8.0,Conecuh,11552,0.099,0.052,0.259,0.192,0.399,0.591,0.151,2164.1274238227147
18,2020-07-14,Coosa,Alabama,01037,69,1.0,Coosa,10383,0.055,0.131,0.167,0.263,0.384,0.647,0.186,664.5478185495522
19,2020-07-14,Covington,Alabama,01039,472,14.0,Covington,37469,0.187,0.128,0.129,0.201,0.356,0.5569999999999999,0.315,1259.7080253009153
20,2020-07-14,Crenshaw,Alabama,01041,144,3.0,Crenshaw,13157,0.06,0.091,0.199,0.233,0.416,0.649,0.151,1094.4744242608497
21,2020-07-14,Cullman,Alabama,01043,699,6.0,Cullman,88044,0.13,0.024,0.249,0.217,0.379,0.596,0.154,793.921221207578
22,2020-07-14,Dale,Alabama,01045,417,2.0,Dale,49214,0.089,0.113,0.118,0.22,0.46,0.68,0.202,847.3198683301499
23,2020-07-14,Dallas,Alabama,01047,1048,10.0,Dallas,38190,0.095,0.1,0.159,0.122,0.524,0.646,0.195,2744.173867504582
