,week,state,cases,startOfWeek,endOfWeek,r
0,0,04,1,2020-01-20,2020-01-26,0.0
1,0,06,2,2020-01-20,2020-01-26,2.0
2,0,17,1,2020-01-20,2020-01-26,1.0
3,0,53,1,2020-01-20,2020-01-26,0.0
4,1,04,0,2020-01-27,2020-02-02,0.0
5,1,06,4,2020-01-27,2020-02-02,0.0
6,1,17,1,2020-01-27,2020-02-02,0.0
7,1,25,1,2020-01-27,2020-02-02,0.0
8,1,53,0,2020-01-27,2020-02-02,0.0
9,2,04,0,2020-02-03,2020-02-09,0.0
10,2,06,0,2020-02-03,2020-02-09,0.0
11,2,17,0,2020-02-03,2020-02-09,0.0
12,2,25,0,2020-02-03,2020-02-09,0.0
13,2,53,0,2020-02-03,2020-02-09,0.0
14,2,55,1,2020-02-03,2020-02-09,0.0
15,3,04,0,2020-02-10,2020-02-16,0.0
16,3,06,1,2020-02-10,2020-02-16,2.0
17,3,17,0,2020-02-10,2020-02-16,0.0
18,3,25,0,2020-02-10,2020-02-16,0.0
19,3,48,2,2020-02-10,2020-02-16,1.0
20,3,53,0,2020-02-10,2020-02-16,0.0
21,3,55,0,2020-02-10,2020-02-16,0.0
22,4,04,0,2020-02-17,2020-02-23,0.0
23,4,06,2,2020-02-17,2020-02-23,12.0
24,4,17,0,2020-02-17,2020-02-23,0.0
25,4,25,0,2020-02-17,2020-02-23,0.0
26,4,31,11,2020-02-17,2020-02-23,0.18181818181818182
27,4,48,2,2020-02-17,2020-02-23,3.5
28,4,53,0,2020-02-17,2020-02-23,0.0
29,4,55,0,2020-02-17,2020-02-23,0.0
30,5,04,0,2020-02-24,2020-03-01,0.0
31,5,06,24,2020-02-24,2020-03-01,3.2916666666666665
32,5,12,2,2020-02-24,2020-03-01,5.5
33,5,17,1,2020-02-24,2020-03-01,4.0
34,5,25,0,2020-02-24,2020-03-01,0.0
35,5,31,2,2020-02-24,2020-03-01,1.5
36,5,36,1,2020-02-24,2020-03-01,105.0
37,5,41,2,2020-02-24,2020-03-01,5.5
38,5,44,2,2020-02-24,2020-03-01,0.5
39,5,48,7,2020-02-24,2020-03-01,1.7142857142857142
40,5,49,1,2020-02-24,2020-03-01,2.0
41,5,53,16,2020-02-24,2020-03-01,7.75
42,5,55,0,2020-02-24,2020-03-01,0.0
43,6,04,4,2020-03-02,2020-03-08,2.0
44,6,06,79,2020-03-02,2020-03-08,4.632911392405063
45,6,08,8,2020-03-02,2020-03-08,16.0
46,6,09,1,2020-03-02,2020-03-08,25.0
47,6,11,1,2020-03-02,2020-03-08,16.0
48,6,12,11,2020-03-02,2020-03-08,8.727272727272727
49,6,13,11,2020-03-02,2020-03-08,7.818181818181818
50,6,15,2,2020-03-02,2020-03-08,2.5
51,6,17,4,2020-03-02,2020-03-08,21.75
52,6,18,2,2020-03-02,2020-03-08,8.5
53,6,19,3,2020-03-02,2020-03-08,6.333333333333333
54,6,20,1,2020-03-02,2020-03-08,8.0
55,6,21,4,2020-03-02,2020-03-08,4.25
56,6,24,5,2020-03-02,2020-03-08,5.4
57,6,25,27,2020-03-02,2020-03-08,5.037037037037037
58,6,27,2,2020-03-02,2020-03-08,16.5
59,6,29,1,2020-03-02,2020-03-08,4.0
60,6,31,3,2020-03-02,2020-03-08,5.0
61,6,32,4,2020-03-02,2020-03-08,5.5
62,6,33,4,2020-03-02,2020-03-08,2.25
63,6,34,6,2020-03-02,2020-03-08,15.333333333333334
64,6,36,105,2020-03-02,2020-03-08,5.961904761904762
65,6,37,2,2020-03-02,2020-03-08,15.0
66,6,40,1,2020-03-02,2020-03-08,7.0
67,6,41,11,2020-03-02,2020-03-08,2.3636363636363638
68,6,42,6,2020-03-02,2020-03-08,10.333333333333334
69,6,44,1,2020-03-02,2020-03-08,17.0
70,6,45,6,2020-03-02,2020-03-08,3.6666666666666665
71,6,47,3,2020-03-02,2020-03-08,12.0
72,6,48,12,2020-03-02,2020-03-08,4.75
73,6,49,2,2020-03-02,2020-03-08,13.0
74,6,50,1,2020-03-02,2020-03-08,7.0
75,6,51,2,2020-03-02,2020-03-08,21.5
76,6,53,124,2020-03-02,2020-03-08,4.306451612903226
77,6,55,0,2020-03-02,2020-03-08,0.0
78,7,01,23,2020-03-09,2020-03-15,5.826086956521739
79,7,02,1,2020-03-09,2020-03-15,21.0
80,7,04,8,2020-03-09,2020-03-15,17.5
81,7,05,16,2020-03-09,2020-03-15,9.3125
82,7,06,366,2020-03-09,2020-03-15,3.751366120218579
83,7,08,128,2020-03-09,2020-03-15,3.5546875
84,7,09,25,2020-03-09,2020-03-15,12.04
85,7,10,7,2020-03-09,2020-03-15,7.0
86,7,11,16,2020-03-09,2020-03-15,5.0625
87,7,12,96,2020-03-09,2020-03-15,9.28125
88,7,13,86,2020-03-09,2020-03-15,6.0813953488372094
89,7,15,5,2020-03-09,2020-03-15,9.8
90,7,16,5,2020-03-09,2020-03-15,8.4
91,7,17,87,2020-03-09,2020-03-15,10.954022988505747
92,7,18,17,2020-03-09,2020-03-15,10.882352941176471
93,7,19,19,2020-03-09,2020-03-15,3.5789473684210527
94,7,20,8,2020-03-09,2020-03-15,7.125
95,7,21,17,2020-03-09,2020-03-15,4.823529411764706
96,7,22,103,2020-03-09,2020-03-15,7.12621359223301
97,7,23,12,2020-03-09,2020-03-15,6.416666666666667
98,7,24,27,2020-03-09,2020-03-15,7.888888888888889
99,7,25,136,2020-03-09,2020-03-15,3.5441176470588234
100,7,26,53,2020-03-09,2020-03-15,18.49056603773585
101,7,27,33,2020-03-09,2020-03-15,4.121212121212121
102,7,28,10,2020-03-09,2020-03-15,19.7
103,7,29,4,2020-03-09,2020-03-15,31.25
104,7,30,6,2020-03-09,2020-03-15,4.666666666666667
105,7,31,15,2020-03-09,2020-03-15,2.066666666666667
106,7,32,22,2020-03-09,2020-03-15,7.454545454545454
107,7,33,9,2020-03-09,2020-03-15,7.222222222222222
108,7,34,92,2020-03-09,2020-03-15,19.73913043478261
109,7,35,17,2020-03-09,2020-03-15,2.823529411764706
110,7,36,626,2020-03-09,2020-03-15,23.0926517571885
111,7,37,30,2020-03-09,2020-03-15,7.9
112,7,38,1,2020-03-09,2020-03-15,29.0
113,7,39,37,2020-03-09,2020-03-15,8.486486486486486
114,7,40,7,2020-03-09,2020-03-15,8.428571428571429
115,7,41,26,2020-03-09,2020-03-15,4.6923076923076925
116,7,42,62,2020-03-09,2020-03-15,7.032258064516129
117,7,44,17,2020-03-09,2020-03-15,3.7058823529411766
118,7,45,22,2020-03-09,2020-03-15,7.545454545454546
119,7,46,9,2020-03-09,2020-03-15,1.3333333333333333
120,7,47,36,2020-03-09,2020-03-15,10.694444444444445
121,7,48,57,2020-03-09,2020-03-15,9.807017543859649
122,7,49,26,2020-03-09,2020-03-15,5.884615384615385
123,7,50,7,2020-03-09,2020-03-15,6.285714285714286
124,7,51,43,2020-03-09,2020-03-15,4.046511627906977
125,7,53,534,2020-03-09,2020-03-15,2.189138576779026
126,7,55,32,2020-03-09,2020-03-15,10.90625
127,7,56,3,2020-03-09,2020-03-15,7.666666666666667
128,7,66,3,2020-03-09,2020-03-15,8.0
129,7,72,5,2020-03-09,2020-03-15,3.6
130,7,78,1,2020-03-09,2020-03-15,16.0
131,8,01,134,2020-03-16,2020-03-22,5.022388059701493
132,8,02,21,2020-03-16,2020-03-22,4.380952380952381
133,8,04,140,2020-03-16,2020-03-22,5.55
134,8,05,149,2020-03-16,2020-03-22,1.9060402684563758
135,8,06,1373,2020-03-16,2020-03-22,3.2556445739257103
136,8,08,455,2020-03-16,2020-03-22,3.789010989010989
137,8,09,301,2020-03-16,2020-03-22,5.534883720930233
138,8,10,49,2020-03-16,2020-03-22,3.5918367346938775
139,8,11,81,2020-03-16,2020-03-22,3.0123456790123457
140,8,12,891,2020-03-16,2020-03-22,4.425364758698092
141,8,13,523,2020-03-16,2020-03-22,3.9445506692160612
142,8,15,49,2020-03-16,2020-03-22,2.4285714285714284
143,8,16,42,2020-03-16,2020-03-22,6.261904761904762
144,8,17,953,2020-03-16,2020-03-22,3.7439664218258133
145,8,18,185,2020-03-16,2020-03-22,7.124324324324324
146,8,19,68,2020-03-16,2020-03-22,3.6176470588235294
147,8,20,57,2020-03-16,2020-03-22,4.684210526315789
148,8,21,82,2020-03-16,2020-03-22,4.097560975609756
149,8,22,734,2020-03-16,2020-03-22,3.681198910081744
150,8,23,77,2020-03-16,2020-03-22,2.1298701298701297
151,8,24,213,2020-03-16,2020-03-22,4.690140845070423
152,8,25,482,2020-03-16,2020-03-22,8.939834024896266
153,8,26,980,2020-03-16,2020-03-22,4.543877551020408
154,8,27,136,2020-03-16,2020-03-22,2.448529411764706
155,8,28,197,2020-03-16,2020-03-22,2.802030456852792
156,8,29,125,2020-03-16,2020-03-22,6.176
157,8,30,28,2020-03-16,2020-03-22,4.535714285714286
158,8,31,31,2020-03-16,2020-03-22,2.4516129032258065
159,8,32,164,2020-03-16,2020-03-22,4.451219512195122
160,8,33,65,2020-03-16,2020-03-22,2.769230769230769
161,8,34,1816,2020-03-16,2020-03-22,6.317180616740088
162,8,35,48,2020-03-16,2020-03-22,3.5833333333333335
163,8,36,14456,2020-03-16,2020-03-22,3.084878251245158
164,8,37,237,2020-03-16,2020-03-22,3.7848101265822787
165,8,38,29,2020-03-16,2020-03-22,2.310344827586207
166,8,39,314,2020-03-16,2020-03-22,4.1847133757961785
167,8,40,59,2020-03-16,2020-03-22,6.135593220338983
168,8,41,122,2020-03-16,2020-03-22,3.180327868852459
169,8,42,436,2020-03-16,2020-03-22,6.736238532110092
170,8,44,63,2020-03-16,2020-03-22,3.3492063492063493
171,8,45,166,2020-03-16,2020-03-22,3.5
172,8,46,12,2020-03-16,2020-03-22,5.75
173,8,47,385,2020-03-16,2020-03-22,2.9740259740259742
