geoid,county,state,centralScore
48201,Harris,Texas,0.5878378378378378
17031,Cook,Illinois,0.5758497316636851
48113,Dallas,Texas,0.553378029912326
06037,Los Angeles,California,0.5529027825489522
13121,Fulton,Georgia,0.5491299897645855
04013,Maricopa,Arizona,0.5474489795918367
27053,Hennepin,Minnesota,0.5428330522765599
11001,District of Columbia,District of Columbia,0.5408266129032258
48439,Tarrant,Texas,0.5406449445750756
37119,Mecklenburg,North Carolina,0.5398289451618313
47157,Shelby,Tennessee,0.5360532889258951
39035,Cuyahoga,Ohio,0.5344512701311639
42101,Philadelphia,Pennsylvania,0.5332118601954613
36061,New York,New York,0.5312757880838422
18097,Marion,Indiana,0.5311881188118812
26163,Wayne,Michigan,0.5310128670405807
29189,St. Louis,Missouri,0.5307502061005771
21111,Jefferson,Kentucky,0.5298765432098765
53033,King,Washington,0.5296150049358341
40109,Oklahoma,Oklahoma,0.5294407894736842
51059,Fairfax,Virginia,0.5290057518488085
39049,Franklin,Ohio,0.5289188301018731
12086,Miami-Dade,Florida,0.5288319369147363
42003,Allegheny,Pennsylvania,0.5277914412198721
32003,Clark,Nevada,0.5274455185974111
48029,Bexar,Texas,0.5271000491239561
47037,Davidson,Tennessee,0.5258085592943482
31055,Douglas,Nebraska,0.5255510204081633
06059,Orange,California,0.5254652301665035
19153,Polk,Iowa,0.5252937336814621
49035,Salt Lake,Utah,0.5249510763209393
20091,Johnson,Kansas,0.5242671009771988
06073,San Diego,California,0.5229044834307992
36047,Kings,New York,0.5225649350649351
08031,Denver,Colorado,0.5213799805636541
12095,Orange,Florida,0.5205368693402329
48085,Collin,Texas,0.520368574199806
12057,Hillsborough,Florida,0.5201163354338342
25017,Middlesex,Massachusetts,0.5192773027907727
13135,Gwinnett,Georgia,0.5189424472029663
12011,Broward,Florida,0.5182740299468684
26125,Oakland,Michigan,0.518190598840953
17043,DuPage,Illinois,0.5181071945919845
24031,Montgomery,Maryland,0.517940466613033
37183,Wake,North Carolina,0.5178571428571429
48453,Travis,Texas,0.5171915167095116
39061,Hamilton,Ohio,0.5170253774494057
13089,DeKalb,Georgia,0.5169423478400514
17097,Lake,Illinois,0.5162790697674419
08041,El Paso,Colorado,0.5162790697674419
40143,Tulsa,Oklahoma,0.5162790697674419
12099,Palm Beach,Florida,0.5161962796664529
55079,Milwaukee,Wisconsin,0.515782727127063
34003,Bergen,New Jersey,0.5153698366954851
12031,Duval,Florida,0.5144638005433914
29095,Jackson,Missouri,0.5139709404438767
42091,Montgomery,Pennsylvania,0.5136428913355673
36081,Queens,New York,0.513479023767746
22033,East Baton Rouge Parish,Louisiana,0.5126612517916865
25025,Suffolk,Massachusetts,0.5125796178343949
06065,Riverside,California,0.5119274809160306
06085,Santa Clara,California,0.5118460804579424
48121,Denton,Texas,0.511520737327189
13067,Cobb,Georgia,0.510223490252021
05119,Pulaski,Arkansas,0.5100617968626209
27037,Dakota,Minnesota,0.50861115500079
12103,Pinellas,Florida,0.5084504817564366
08005,Arapahoe,Colorado,0.5082096621408273
55025,Dane,Wisconsin,0.5081294396211523
34013,Essex,New Jersey,0.5078889239507731
09001,Fairfield,Connecticut,0.5078088026502603
27123,Ramsey,Minnesota,0.5070888468809074
38105,Williams,North Dakota,0.5070089777917782
04019,Pima,Arizona,0.5067695214105793
01073,Jefferson,Alabama,0.5066897528726586
06067,Sacramento,California,0.5062912865681032
08059,Jefferson,Colorado,0.5062116685013367
22071,Orleans Parish,Louisiana,0.5061320754716981
38017,Cass,North Dakota,0.5061320754716981
47093,Knox,Tennessee,0.5058934464875059
06071,San Bernardino,California,0.5058139534883721
29510,St. Louis city,Missouri,0.5055756243128632
06001,Alameda,California,0.5052582012242977
06081,San Mateo,California,0.5052582012242977
41051,Multnomah,Oregon,0.5052582012242977
45045,Greenville,South Carolina,0.5052582012242977
36059,Nassau,New York,0.5050996391024635
06075,San Francisco,California,0.5048619824341279
24003,Anne Arundel,Maryland,0.5048619824341279
29077,Greene,Missouri,0.5048619824341279
48339,Montgomery,Texas,0.5046245493023985
47065,Hamilton,Tennessee,0.5042293233082706
05007,Benton,Arkansas,0.5039924847346172
24033,Prince George's,Maryland,0.503755868544601
17197,Will,Illinois,0.5035194744251525
35001,Bernalillo,New Mexico,0.5034407256803253
48141,El Paso,Texas,0.5032046271689855
12071,Lee,Florida,0.5032046271689855
02020,Anchorage Municipality,Alaska,0.50296875
31109,Lancaster,Nebraska,0.5027330938622521
51013,Arlington,Virginia,0.502576112412178
24510,Baltimore city,Maryland,0.5024192289683159
15003,Honolulu,Hawaii,0.501949165757056
42029,Chester,Pennsylvania,0.5018709073900842
20173,Sedgwick,Kansas,0.5012457178449081
09003,Hartford,Connecticut,0.5006999533364442
53053,Pierce,Washington,0.5002331002331002
08001,Adams,Colorado,0.5000776759359951
37081,Guilford,North Carolina,0.49992234819071285
39113,Montgomery,Ohio,0.49992234819071285
55009,Brown,Wisconsin,0.4994569433669511
36029,Erie,New York,0.4993020009306654
34027,Morris,New Jersey,0.49891506509609423
36103,Suffolk,New York,0.498837749883775
24005,Baltimore,Maryland,0.498837749883775
17089,Kane,Illinois,0.49822008976938553
48157,Fort Bend,Texas,0.49814298978644383
48491,Williamson,Texas,0.4979118329466357
34023,Middlesex,New Jersey,0.49752704791344665
08035,Douglas,Colorado,0.49737330037082816
45079,Richland,South Carolina,0.4972964622277151
12009,Brevard,Florida,0.49714285714285716
08069,Larimer,Colorado,0.49714285714285716
08013,Boulder,Colorado,0.4970660901791229
36119,Westchester,New York,0.49668261070822406
51107,Loudoun,Virginia,0.4966059858068497
49049,Utah,Utah,0.4965293845441925
18089,Lake,Indiana,0.49645280690931526
34035,Somerset,New Jersey,0.49645280690931526
16001,Ada,Idaho,0.49645280690931526
47187,Williamson,Tennessee,0.4960702727693019
22051,Jefferson Parish,Louisiana,0.49599383667180275
29183,St. Charles,Missouri,0.49568832768709575
26081,Kent,Michigan,0.4956120092378753
55133,Waukesha,Wisconsin,0.4953831948291782
12101,Pasco,Florida,0.49530697030312354
