Place,Degree_Centrality_com
New Jersey,854637.0
New York,813522.0
Maryland,735105.0
District of Columbia,647415.0
Virginia,617268.0
Pennsylvania,553620.0
Illinois,399368.0
Missouri,355745.0
Massachusetts,334405.0
Ohio,306909.0
Indiana,279311.0
Kentucky,263899.0
Tennessee,262331.0
Georgia,239641.0
Texas,231297.0
Kansas,219663.0
North Carolina,218672.0
Connecticut,211028.0
South Carolina,177531.0
Wisconsin,176213.0
New Hampshire,173758.0
Washington,160817.0
West Virginia,159600.0
Minnesota,152806.0
Florida,150677.0
Iowa,149434.0
Mississippi,147371.0
California,146679.0
Alabama,136606.0
Rhode Island,136452.0
Delaware,125373.0
Michigan,125267.0
Oregon,123591.0
Louisiana,100764.0
Arkansas,89785.0
Oklahoma,79136.0
Nebraska,72017.0
Arizona,66736.0
North Dakota,63578.0
Idaho,56166.0
Nevada,54805.0
Colorado,53775.0
New Mexico,51184.0
Vermont,40068.0
Maine,37614.0
Utah,30647.0
South Dakota,28603.0
Wyoming,21857.0
Montana,14637.0
Alaska,10832.0
Hawaii,6818.0
Puerto Rico,3111.0
