,fips,Vaccination,Masks,Close_schools,Date,week
0,2,0,0,1,2020-03-16,8
1,2,0,1,1,2020-06-29,23
2,2,1,1,1,2021-03-09,59
3,2,1,1,0,2021-03-15,60
4,2,1,0,0,2021-11-22,96
5,2,1,1,0,2022-02-02,106
6,2,1,0,0,2022-02-15,108
7,2,0,0,0,2022-05-02,119
8,1,0,0,0,2020-01-01,-3
9,1,0,0,1,2020-03-19,8
10,1,0,1,1,2020-05-01,14
11,1,0,1,0,2021-04-05,63
12,1,0,0,0,2021-04-09,63
13,1,1,0,0,2021-04-10,63
14,1,1,1,0,2021-09-17,86
15,1,1,0,0,2021-10-11,90
16,1,0,0,0,2022-04-12,116
17,1,1,0,0,2022-04-17,116
18,1,0,0,0,2022-04-28,118
19,5,0,0,0,2020-01-01,-3
20,5,0,0,1,2020-03-17,8
21,5,0,1,1,2020-06-16,21
22,5,0,1,0,2020-08-27,31
23,5,0,1,1,2020-09-29,36
24,5,0,1,0,2020-10-19,39
25,5,0,1,1,2020-11-03,41
26,5,0,1,0,2021-02-28,57
27,5,1,1,0,2021-03-30,62
28,5,1,0,0,2021-04-01,62
29,5,1,0,1,2022-01-20,104
30,5,1,0,0,2022-01-22,104
31,5,1,0,1,2022-01-25,105
32,5,1,0,0,2022-02-08,107
33,5,0,0,0,2022-04-30,118
34,4,0,0,0,2020-01-01,-3
35,4,0,0,1,2020-03-16,8
36,4,0,1,1,2020-06-19,21
37,4,0,1,0,2021-03-15,60
38,4,0,0,0,2021-03-25,61
39,4,1,0,0,2021-04-05,63
40,4,1,1,0,2021-04-06,63
41,4,1,0,0,2021-05-19,69
42,4,0,0,0,2022-05-05,119
43,6,0,0,0,2020-01-01,-3
44,6,0,0,1,2020-03-13,7
45,6,0,1,1,2020-04-06,11
46,6,1,1,1,2021-04-15,64
47,6,1,0,1,2021-06-08,72
48,6,1,0,0,2021-07-30,79
49,6,1,0,1,2022-01-04,102
50,6,1,0,0,2022-01-25,105
51,6,0,0,0,2022-05-05,119
52,8,0,0,0,2020-01-01,-3
53,8,0,0,1,2020-03-16,8
54,8,0,1,1,2020-10-11,37
55,8,1,1,1,2021-04-02,62
56,8,1,0,1,2021-04-03,62
57,8,1,1,1,2021-05-02,66
58,8,1,0,1,2021-05-05,67
59,8,1,0,0,2021-07-20,78
60,8,1,0,1,2021-10-26,92
61,8,1,0,0,2022-02-01,106
62,8,0,0,0,2022-04-26,118
63,9,0,0,0,2020-01-01,-3
64,9,0,0,1,2020-03-11,7
65,9,0,1,1,2020-04-20,13
66,9,1,1,1,2021-04-01,62
