fips,state,name,pop_2019,median_age_2019,housing_one_unit_structures_2019,households_speak_limited_english_2019,median_household_income_2019,median_individual_income_2019,unemployment_rate_2019,uninsured_2019,household_has_smartphone_2019,persons_per_household_2019,hs_grad_2019,bachelors_2019,white_2019,black_2019,native_2019,asian_2019,hispanic_2019,Land area,pop_density,Life expectancy,Airports,state abbreviation,state fips,Percent >65yrs per state,Insured per state: uninsured,PovertyRate,state population,State population growth since 2010,State population percent,State population density,Vote Democrat,Vote Republican,centrality score,betweenness score,pagerank score,degree centrality state,Mean_temperature_period1,Mean_temperature_period2,Mean_temperature_period3,Mean_temperature_period4,Mean_temperature_period5,Mean_temperature_perstate,Complete_all,Booster_all,Complete_period1,Booster_period1,Complete_period2,Booster_period2,Complete_period3,Booster_period3,Complete_period4,Booster_period4,Complete_period5,Booster_period5,Complete_all_rate,Booster_all_rate,Complete_period1_rate,Booster_period1_rate,Complete_period2_rate,Booster_period2_rate,Complete_period3_rate,Booster_period3_rate,Complete_period4_rate,Booster_period4_rate,Complete_period5_rate,Booster_period5_rate,Vaccination_all,Masks_all,Close_schools_all,Vaccination_period1,Masks_period1,Close_schools_period1,Vaccination_period2,Masks_period2,Close_schools_period2,Vaccination_period3,Masks_period3,Close_schools_period3,Vaccination_period4,Masks_period4,Close_schools_period4,Vaccination_period5,Masks_period5,Close_schools_period5
1001,Alabama,Autauga County,55380,38.2,17.3,0.7,58731,29725,3.5,7.1,78.4,2.56,88.5,26.6,76.8,19.0,0.3,1.0,2.8,594.44,93.16331337056725,75.67,0.0,AL,1.0,17.8,0.097,0.1608,4949697,0.0343,0.0147,97.7332,0.27018365142239825,0.714368023046453,0.4058756777203379,734.3359728302314,0.3954926389321872,136606.0,12.653333333333336,7.436666666666667,12.653333333333336,7.436666666666667,12.653333333333336,18.89,13539.495780590718,1559.15611814346,0.0,0.0,0.0,0.0,4975.708791208791,0.0,17216.49726775956,153.59016393442624,23381.41584158416,7038.940594059406,0.2444834918849895,0.028153776058928492,0.0,0.0,0.0,0.0,0.0898466737307474,0.0,0.3108793295008949,0.0027733868532760246,0.4221996359982694,0.12710257482953063,0.4404332129963899,0.4416365824308063,0.45968712394705175,0.0,0.29239766081871343,0.543859649122807,1.0,0.0,0.0,0.9342105263157895,0.05263157894736842,0.0,1.0,0.2553191489361702,0.0,1.0,0.0,0.0
1003,Alabama,Baldwin County,212830,43.0,11.5,1.2,58320,29802,4.0,8.9,81.7,2.59,90.8,31.9,86.2,9.3,0.8,0.9,4.6,1589.78,133.8738693404119,78.08,0.0,AL,1.0,17.8,0.097,0.1608,4949697,0.0343,0.0147,97.7332,0.22409029987509005,0.7617137282433283,0.4787328970850684,6924.5550586591535,0.7541717030597825,136606.0,12.653333333333336,7.436666666666667,12.653333333333336,7.436666666666667,12.653333333333336,18.89,66498.09282700422,7870.443037974684,0.0,0.0,0.0,0.0,26353.813186813186,0.0,85274.08743169399,851.4535519125683,110084.59405940594,35393.80198019802,0.31244698974300716,0.03697995131313576,0.0,0.0,0.0,0.0,0.12382565045723434,0.0,0.40066760997835826,0.0040006275051100324,0.5172419022666257,0.16630081276228925,0.4404332129963899,0.4416365824308063,0.45968712394705175,0.0,0.29239766081871343,0.543859649122807,1.0,0.0,0.0,0.9342105263157895,0.05263157894736842,0.0,1.0,0.2553191489361702,0.0,1.0,0.0,0.0
1005,Alabama,Barbour County,25361,40.4,26.1,1.6,32525,17963,9.4,11.3,64.2,2.41,73.2,11.6,46.8,47.6,0.3,0.5,4.4,884.88,28.660383328812948,75.42,0.0,AL,1.0,17.8,0.097,0.1608,4949697,0.0343,0.0147,97.7332,0.45788172656398557,0.5345122646891044,0.410377358490566,1563.8197801667084,1.1276824073925675,136606.0,12.653333333333336,7.436666666666667,12.653333333333336,7.436666666666667,12.653333333333336,18.89,6212.552742616033,692.0105485232068,0.0,0.0,0.0,0.0,2097.956043956044,0.0,8047.11475409836,63.73770491803279,10795.049504950495,3132.168316831683,0.2449648177365259,0.02728640623489637,0.0,0.0,0.0,0.0,0.08272371136611506,0.0,0.31730273861828634,0.002513217338355459,0.42565551456766276,0.12350334438041415,0.4404332129963899,0.4416365824308063,0.45968712394705175,0.0,0.29239766081871343,0.543859649122807,1.0,0.0,0.0,0.9342105263157895,0.05263157894736842,0.0,1.0,0.2553191489361702,0.0,1.0,0.0,0.0
1007,Alabama,Bibb County,22493,40.9,29.7,0.6,47542,21958,7.0,10.7,66.6,2.99,79.1,10.4,76.8,22.3,0.1,0.1,2.6,622.58,36.128690288798225,73.97,0.0,AL,1.0,17.8,0.097,0.1608,4949697,0.0343,0.0147,97.7332,0.20698280354351226,0.7842626367899947,0.3929923086314247,432.10320624823777,0.3053228332655428,136606.0,12.653333333333336,7.436666666666667,12.653333333333336,7.436666666666667,12.653333333333336,18.89,4630.4240506329115,516.464135021097,0.0,0.0,0.0,0.0,1820.3736263736264,0.0,6007.136612021858,52.021857923497265,7566.40594059406,2329.5445544554455,0.2058606700143561,0.02296110501138563,0.0,0.0,0.0,0.0,0.08093067293707493,0.0,0.26706693691467825,0.0023128021128127536,0.3363893629393171,0.10356753454209956,0.4404332129963899,0.4416365824308063,0.45968712394705175,0.0,0.29239766081871343,0.543859649122807,1.0,0.0,0.0,0.9342105263157895,0.05263157894736842,0.0,1.0,0.2553191489361702,0.0,1.0,0.0,0.0
1009,Alabama,Blount County,57681,40.7,24.0,1.8,49358,26976,3.1,10.8,70.1,2.74,80.5,13.1,95.5,1.6,0.1,0.4,9.3,644.78,89.45841992617638,76.16,0.0,AL,1.0,17.8,0.097,0.1608,4949697,0.0343,0.0147,97.7332,0.09569377990430622,0.8957155284906481,0.4184323410893019,593.9802241610541,0.2679461757916797,136606.0,12.653333333333336,7.436666666666667,12.653333333333336,7.436666666666667,12.653333333333336,18.89,10520.900843881856,1186.6413502109704,0.0,0.0,0.0,0.0,3989.236263736264,0.0,13474.896174863388,118.85792349726776,17771.881188118812,5353.633663366337,0.18239803130808857,0.020572482276849748,0.0,0.0,0.0,0.0,0.06916031732695799,0.0,0.23361065471929038,0.0020606078864317152,0.3081063294346286,0.09281450847534434,0.4404332129963899,0.4416365824308063,0.45968712394705175,0.0,0.29239766081871343,0.543859649122807,1.0,0.0,0.0,0.9342105263157895,0.05263157894736842,0.0,1.0,0.2553191489361702,0.0,1.0,0.0,0.0
1011,Alabama,Bullock County,10248,40.2,39.3,1.4,37785,21571,4.1,11.4,70.6,2.79,74.7,12.1,21.9,74.8,0.0,0.5,2.6,622.81,16.45445641527914,73.86,0.0,AL,1.0,17.8,0.097,0.1608,4949697,0.0343,0.0147,97.7332,0.7470192933015392,0.24842835464990246,0.3534643680685187,23.938758721178672,0.4284844871389384,136606.0,12.653333333333336,7.436666666666667,12.653333333333336,7.436666666666667,12.653333333333336,18.89,3047.4789029535864,314.246835443038,0.0,0.0,0.0,0.0,1188.3406593406594,0.0,3882.9180327868853,32.47540983606557,5125.277227722772,1415.9405940594058,0.2973730389298972,0.030664211108805423,0.0,0.0,0.0,0.0,0.11595830009178956,0.0,0.3788952022625766,0.0031689509988354386,0.5001246319011292,0.13816750527511767,0.4404332129963899,0.4416365824308063,0.45968712394705175,0.0,0.29239766081871343,0.543859649122807,1.0,0.0,0.0,0.9342105263157895,0.05263157894736842,0.0,1.0,0.2553191489361702,0.0,1.0,0.0,0.0
1013,Alabama,Butler County,19828,40.8,24.9,0.3,40688,19685,7.0,8.7,57.1,3.0,85.0,16.1,51.8,45.4,0.1,0.3,1.4,776.83,25.52424597402263,73.39,0.0,AL,1.0,17.8,0.097,0.1608,4949697,0.0343,0.0147,97.7332,0.4178962900505902,0.5752529510961214,0.392035074899525,725.0731073853196,0.6305755511769936,136606.0,12.653333333333336,7.436666666666667,12.653333333333336,7.436666666666667,12.653333333333336,18.89,4575.860759493671,481.4957805907173,0.0,0.0,0.0,0.0,1841.1043956043957,0.0,5903.054644808743,49.4207650273224,7461.564356435643,2170.1485148514853,0.230777726421912,0.024283628232333935,0.0,0.0,0.0,0.0,0.09285376213457715,0.0,0.2977130645959625,0.0024924735236696795,0.37631452271714966,0.10944868442866075,0.4404332129963899,0.4416365824308063,0.45968712394705175,0.0,0.29239766081871343,0.543859649122807,1.0,0.0,0.0,0.9342105263157895,0.05263157894736842,0.0,1.0,0.2553191489361702,0.0,1.0,0.0,0.0
1015,Alabama,Calhoun County,114618,39.6,13.8,0.9,47255,24069,7.2,9.5,74.9,2.5,84.4,18.5,73.7,20.8,0.3,0.9,3.8,605.87,189.17919685741165,74.02,0.0,AL,1.0,17.8,0.097,0.1608,4949697,0.0343,0.0147,97.7332,0.29845242531824334,0.6884843967597042,0.448203842940685,5080.308875208406,1.2664898325440357,136606.0,12.653333333333336,7.436666666666667,12.653333333333336,7.436666666666667,12.653333333333336,18.89,30923.620253164558,3745.4071729957805,0.0,0.0,0.0,0.0,11878.763736263736,0.0,39533.2131147541,401.9836065573771,52091.91089108911,16849.10891089109,0.2697972417348458,0.03267730350377585,0.0,0.0,0.0,0.0,0.10363785562707198,0.0,0.34491278084379506,0.003507159491156512,0.45448281152252795,0.1470022938010704,0.4404332129963899,0.4416365824308063,0.45968712394705175,0.0,0.29239766081871343,0.543859649122807,1.0,0.0,0.0,0.9342105263157895,0.05263157894736842,0.0,1.0,0.2553191489361702,0.0,1.0,0.0,0.0
1017,Alabama,Chambers County,33660,42.0,13.4,0.9,42289,22754,4.0,10.3,68.7,2.46,81.6,13.3,57.7,39.6,0.3,1.1,2.4,596.53,56.426332288401255,74.06,0.0,AL,1.0,17.8,0.097,0.1608,4949697,0.0343,0.0147,97.7332,0.41644857367181365,0.5726903951845067,0.3937614678899082,269.5840449942569,0.3597739509474391,136606.0,12.653333333333336,7.436666666666667,12.653333333333336,7.436666666666667,12.653333333333336,18.89,6388.476793248945,754.1455696202531,0.0,0.0,0.0,0.0,2803.3076923076924,0.0,8172.24043715847,80.75409836065573,10122.930693069307,3392.940594059406,0.18979431946669473,0.022404800048135862,0.0,0.0,0.0,0.0,0.08328305681246857,0.0,0.24278789177535562,0.0023991116565851376,0.3007406623015243,0.10080037415506257,0.4404332129963899,0.4416365824308063,0.45968712394705175,0.0,0.29239766081871343,0.543859649122807,1.0,0.0,0.0,0.9342105263157895,0.05263157894736842,0.0,1.0,0.2553191489361702,0.0,1.0,0.0,0.0
1019,Alabama,Cherokee County,25903,46.5,24.6,1.1,41919,23121,4.4,8.6,71.4,2.39,81.6,12.8,92.9,4.6,1.1,0.2,1.6,553.7,46.781650713382696,75.08,0.0,AL,1.0,17.8,0.097,0.1608,4949697,0.0343,0.0147,97.7332,0.13202178684659785,0.8603365580034144,0.4061317183951551,228.90222747165785,0.2982310226683633,136606.0,12.653333333333336,7.436666666666667,12.653333333333336,7.436666666666667,12.653333333333336,18.89,5114.9029535864975,606.1962025316456,0.0,0.0,0.0,0.0,2381.6593406593406,0.0,6510.803278688524,66.34426229508196,7916.089108910891,2724.7128712871286,0.1974637282780565,0.023402548065152514,0.0,0.0,0.0,0.0,0.09194530906301744,0.0,0.25135325169627165,0.0025612578579732835,0.30560510786051387,0.10518908509775426,0.4404332129963899,0.4416365824308063,0.45968712394705175,0.0,0.29239766081871343,0.543859649122807,1.0,0.0,0.0,0.9342105263157895,0.05263157894736842,0.0,1.0,0.2553191489361702,0.0,1.0,0.0,0.0
