geoid,county,state,pageRank
72127,San Juan Municipio,Puerto Rico,16.81283531649144
48201,Harris,Texas,16.499235361221228
13121,Fulton,Georgia,14.583587785099153
11001,District of Columbia,District of Columbia,13.112131637626664
36061,New York,New York,12.787670635124693
27053,Hennepin,Minnesota,12.26930045572178
47157,Shelby,Tennessee,11.608049744806847
17031,Cook,Illinois,11.504620691795292
48113,Dallas,Texas,11.472922431196976
21111,Jefferson,Kentucky,11.419643466312108
47037,Davidson,Tennessee,11.080571550100265
39049,Franklin,Ohio,10.962718302970739
21067,Fayette,Kentucky,10.158645780867811
18097,Marion,Indiana,10.093417923306479
40109,Oklahoma,Oklahoma,9.898957391663325
19153,Polk,Iowa,9.554090263247732
29189,St. Louis,Missouri,9.280538693386172
05119,Pulaski,Arkansas,9.268562804296442
39061,Hamilton,Ohio,8.84014554059733
31055,Douglas,Nebraska,8.58120874761649
37119,Mecklenburg,North Carolina,8.412367940788565
40143,Tulsa,Oklahoma,8.09933037574452
48029,Bexar,Texas,7.859915861675674
29095,Jackson,Missouri,7.667951596699923
22033,East Baton Rouge Parish,Louisiana,7.320747461419014
42003,Allegheny,Pennsylvania,7.1546979935227935
01073,Jefferson,Alabama,7.008847830712158
47065,Hamilton,Tennessee,6.824619802872642
39035,Cuyahoga,Ohio,6.818578115505603
54039,Kanawha,West Virginia,6.719103648273879
47093,Knox,Tennessee,6.670546522682699
46099,Minnehaha,South Dakota,6.465075006327799
20091,Johnson,Kansas,6.274855868052478
51059,Fairfax,Virginia,6.197318615470061
48453,Travis,Texas,6.175230392069578
49035,Salt Lake,Utah,6.141054345763761
48329,Midland,Texas,6.118881463575478
29077,Greene,Missouri,6.064822785515239
37183,Wake,North Carolina,6.001681010798041
20173,Sedgwick,Kansas,5.899916553583492
53033,King,Washington,5.773636264817833
55025,Dane,Wisconsin,5.749235700524285
48439,Tarrant,Texas,5.669615896400981
38105,Williams,North Dakota,5.594190162387359
01101,Montgomery,Alabama,5.549030125308611
18163,Vanderburgh,Indiana,5.5455105396480455
51760,Richmond city,Virginia,5.533750972325172
13021,Bibb,Georgia,5.496372333732515
12073,Leon,Florida,5.483287627584538
12031,Duval,Florida,5.446614083814085
13051,Chatham,Georgia,5.402132279061116
31109,Lancaster,Nebraska,5.244212028223045
29510,St. Louis city,Missouri,5.1940845875999235
21145,McCracken,Kentucky,5.171163748152089
48303,Lubbock,Texas,5.13035062698464
28049,Hinds,Mississippi,5.085464699222474
13215,Muscogee,Georgia,5.0059267554523545
13245,Richmond,Georgia,4.902944123821828
72113,Ponce Municipio,Puerto Rico,4.858145533371351
01089,Madison,Alabama,4.7708584705383705
51087,Henrico,Virginia,4.770769589845914
22071,Orleans Parish,Louisiana,4.755870016296853
38017,Cass,North Dakota,4.681915704575879
26081,Kent,Michigan,4.669011182465733
26163,Wayne,Michigan,4.603488161447481
17167,Sangamon,Illinois,4.581388405772363
12095,Orange,Florida,4.530483069340854
45079,Richland,South Carolina,4.4740288888737965
36055,Monroe,New York,4.440457235789905
13095,Dougherty,Georgia,4.439624361468993
18003,Allen,Indiana,4.416634811164084
06085,Santa Clara,California,4.412691733487484
08031,Denver,Colorado,4.396329340527853
06037,Los Angeles,California,4.374961891151804
37081,Guilford,North Carolina,4.373844712777052
41051,Multnomah,Oregon,4.262744188070559
48355,Nueces,Texas,4.232811175437311
31079,Hall,Nebraska,4.218177414474024
51710,Norfolk city,Virginia,4.200261797463098
45045,Greenville,South Carolina,4.188106023612679
72097,Mayagüez Municipio,Puerto Rico,4.182497099001969
55079,Milwaukee,Wisconsin,4.1763275295019575
35001,Bernalillo,New Mexico,4.156282991569365
24031,Montgomery,Maryland,4.144090784201053
25017,Middlesex,Massachusetts,4.1042378615935755
47113,Madison,Tennessee,4.081703559292688
16001,Ada,Idaho,4.066312847926929
27123,Ramsey,Minnesota,4.04790657744086
48135,Ector,Texas,4.0172761897396265
36001,Albany,New York,4.016360463713399
26125,Oakland,Michigan,4.003025387080668
27109,Olmsted,Minnesota,4.002757205587266
13135,Gwinnett,Georgia,3.972513877064336
13185,Lowndes,Georgia,3.94978781808458
20177,Shawnee,Kansas,3.949428934116689
29019,Boone,Missouri,3.935626832662728
13089,DeKalb,Georgia,3.9344687894389363
19113,Linn,Iowa,3.9253346418139365
28081,Lee,Mississippi,3.9192847117944476
25025,Suffolk,Massachusetts,3.9005742048687937
22055,Lafayette Parish,Louisiana,3.898789889271913
30111,Yellowstone,Montana,3.8385056404500197
51770,Roanoke city,Virginia,3.8330021509747394
22017,Caddo Parish,Louisiana,3.8010691564836785
19013,Black Hawk,Iowa,3.746716193294402
22051,Jefferson Parish,Louisiana,3.744495289673467
55009,Brown,Wisconsin,3.7422075753562987
48441,Taylor,Texas,3.6586633793508376
13067,Cobb,Georgia,3.6551769809562407
37063,Durham,North Carolina,3.6532639854312405
12001,Alachua,Florida,3.6396058127227384
04013,Maricopa,Arizona,3.629140015794197
42101,Philadelphia,Pennsylvania,3.627989885149168
38089,Stark,North Dakota,3.6223290206858767
37021,Buncombe,North Carolina,3.6215200973295043
48245,Jefferson,Texas,3.60331984245897
53063,Spokane,Washington,3.6011837720786226
48375,Potter,Texas,3.5613037729183823
18157,Tippecanoe,Indiana,3.5536336644710786
19103,Johnson,Iowa,3.5371962066877747
17143,Peoria,Illinois,3.5171447689234183
39113,Montgomery,Ohio,3.505353347861062
13153,Houston,Georgia,3.4924381806538967
29051,Cole,Missouri,3.4867875424779227
38101,Ward,North Dakota,3.4713799079175014
06067,Sacramento,California,3.459294227995706
22073,Ouachita Parish,Louisiana,3.4581154076547276
50007,Chittenden,Vermont,3.451002453052534
21227,Warren,Kentucky,3.421939406290666
17019,Champaign,Illinois,3.3998435391577786
29021,Buchanan,Missouri,3.397172033697238
51700,Newport News city,Virginia,3.387855846759754
18039,Elkhart,Indiana,3.3502380323582766
26055,Grand Traverse,Michigan,3.346473164031829
72061,Guaynabo Municipio,Puerto Rico,3.3026287653111592
45019,Charleston,South Carolina,3.2973244751768287
29031,Cape Girardeau,Missouri,3.289926029848344
36067,Onondaga,New York,3.285553856689518
48451,Tom Green,Texas,3.282578160673679
37051,Cumberland,North Carolina,3.2752964046335666
01125,Tuscaloosa,Alabama,3.26767046401113
48183,Gregg,Texas,3.2631673334872366
36029,Erie,New York,3.2623426786945866
06075,San Francisco,California,3.262150219111509
39095,Lucas,Ohio,3.230687919735509
47187,Williamson,Tennessee,3.2229288285995947
31111,Lincoln,Nebraska,3.2199526176205353
56005,Campbell,Wyoming,3.2179778560347545
48485,Wichita,Texas,3.1605138609609376
05131,Sebastian,Arkansas,3.154256894027969
32031,Washoe,Nevada,3.1481658030382156
27137,St. Louis,Minnesota,3.147639237866591
51041,Chesterfield,Virginia,3.1456388339616033
38015,Burleigh,North Dakota,3.135090505157571
55063,La Crosse,Wisconsin,3.129653553037733
38035,Grand Forks,North Dakota,3.1244425097578126
46013,Brown,South Dakota,3.109327936864093
46103,Pennington,South Dakota,3.0954476594209575
51121,Montgomery,Virginia,3.092521841675326
37067,Forsyth,North Carolina,3.0844359418038114
31019,Buffalo,Nebraska,3.072017014181123
19193,Woodbury,Iowa,3.008744361095443
51810,Virginia Beach city,Virginia,3.0066921551654247
54061,Monongalia,West Virginia,2.9705278485589126
08041,El Paso,Colorado,2.961618831445182
21047,Christian,Kentucky,2.9551759732404355
47163,Sullivan,Tennessee,2.9344198920108897
17043,DuPage,Illinois,2.927614032339366
18167,Vigo,Indiana,2.9222089071519854
51003,Albemarle,Virginia,2.880007098645491
32003,Clark,Nevada,2.8786842585621666
72031,Carolina Municipio,Puerto Rico,2.8715945740503943
54033,Harrison,West Virginia,2.863836471453388
01097,Mobile,Alabama,2.8370948200641206
23005,Cumberland,Maine,2.8302740298892317
20057,Ford,Kansas,2.8186626891892095
31119,Madison,Nebraska,2.8087858169300555
12086,Miami-Dade,Florida,2.8010028159357354
01069,Houston,Alabama,2.794629505672698
16019,Bonneville,Idaho,2.7747969401103485
28075,Lauderdale,Mississippi,2.7721640521764055
22019,Calcasieu Parish,Louisiana,2.7484990732075407
09003,Hartford,Connecticut,2.747811603858737
13059,Clarke,Georgia,2.7398372716310777
05031,Craighead,Arkansas,2.7333352559453776
26065,Ingham,Michigan,2.719857812985907
46065,Hughes,South Dakota,2.7169990660471037
72021,Bayamón Municipio,Puerto Rico,2.71389706383335
54011,Cabell,West Virginia,2.6888091960063307
12057,Hillsborough,Florida,2.6804870706279176
48041,Brazos,Texas,2.675873082552857
05007,Benton,Arkansas,2.6551254495633807
47141,Putnam,Tennessee,2.6341376720549157
19061,Dubuque,Iowa,2.6227231219077396
48027,Bell,Texas,2.614537027270584
42043,Dauphin,Pennsylvania,2.580412370348844
28047,Harrison,Mississippi,2.5627987017110545
31157,Scotts Bluff,Nebraska,2.5455462598834813
24033,Prince George's,Maryland,2.5360572767108764
24510,Baltimore city,Maryland,2.5335298994889928
47149,Rutherford,Tennessee,2.5327115250198715
48037,Bowie,Texas,2.529811425653966
51680,Lynchburg city,Virginia,2.5279284114345613
29097,Jasper,Missouri,2.5268876747716527
17001,Adams,Illinois,2.5152556454687227
30049,Lewis and Clark,Montana,2.502345702428394
54107,Wood,West Virginia,2.501718150798741
27145,Stearns,Minnesota,2.494809159472557
48141,El Paso,Texas,2.4818147494148515
51013,Arlington,Virginia,2.4798493302846074
20051,Ellis,Kansas,2.4689442047492056
21073,Franklin,Kentucky,2.464698266888343
19163,Scott,Iowa,2.456800295357118
31141,Platte,Nebraska,2.456252369077105
40031,Comanche,Oklahoma,2.4489144340264737
20169,Saline,Kansas,2.4423350213440265
46035,Davison,South Dakota,2.4368774567574985
48309,McLennan,Texas,2.427066162139215
72025,Caguas Municipio,Puerto Rico,2.4244708052382444
30063,Missoula,Montana,2.423385262146181
48469,Victoria,Texas,2.418200570260578
21059,Daviess,Kentucky,2.408175533278496
18037,Dubois,Indiana,2.3913903060654578
20055,Finney,Kansas,2.390183303038183
40019,Carter,Oklahoma,2.3809550549817975
28089,Madison,Mississippi,2.3767619474144777
42091,Montgomery,Pennsylvania,2.3721684176337154
39153,Summit,Ohio,2.36938542401021
48085,Collin,Texas,2.369290086951311
