STATEFP,COUNTYFP,COUNTYNS,GEOID,NAME,NAMELSAD,LSAD,CLASSFP,MTFCC,CSAFP,CBSAFP,METDIVFP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,County Pop_SUMLEV,County Pop_REGION,County Pop_DIVISION,County Pop_STATE,County Pop_COUNTY,County Pop_STNAME,County Pop_CTYNAME,County Pop_CENSUS2010POP,County Pop_ESTIMATESBASE2010,County Pop_POPESTIMATE2010,County Pop_POPESTIMATE2011,County Pop_POPESTIMATE2012,County Pop_POPESTIMATE2013,County Pop_POPESTIMATE2014,County Pop_POPESTIMATE2015,County Pop_POPESTIMATE2016,County Pop_POPESTIMATE2017,County Pop_POPESTIMATE2018,County Pop_POPESTIMATE2019,County Pop_POPESTIMATE042020,County Pop_POPESTIMATE2020
"31","039","00835841","31039",Cuming,Cuming County,"06",H1,G4020,,,,A,"1477652222","10690952","+41.9158651","-096.7885168","50","2","4","31","039",Nebraska,Cuming County,"9139","9139","9161","9117","9084","9011","9018","9074","8939","8940","8913","8818","8820","8798"
"53","069","01513275","53069",Wahkiakum,Wahkiakum County,"06",H1,G4020,,,,A,"680962890","61582307","+46.2946377","-123.4244583","50","4","9","53","069",Washington,Wahkiakum County,"3978","3979","3983","3992","3996","4002","4008","3989","4123","4207","4343","4420","4483","4498"
"35","011","00933054","35011",De Baca,De Baca County,"06",H1,G4020,,,,A,"6016819475","29089486","+34.3592729","-104.3686961","50","4","8","35","011",New Mexico,De Baca County,"2022","2024","2031","2001","1958","1931","1865","1877","1838","1810","1781","1741","1695","1673"
"31","109","00835876","31109",Lancaster,Lancaster County,"06",H1,G4020,"339","30700",,A,"2169270569","22849484","+40.7835474","-096.6886584","50","2","4","31","109",Nebraska,Lancaster County,"285407","285407","286175","289963","293515","297232","302775","306293","310561","313892","316372","318403","320229","320650"
"31","129","00835886","31129",Nuckolls,Nuckolls County,"06",H1,G4020,,,,A,"1489645188","1718484","+40.1764918","-098.0468422","50","2","4","31","129",Nebraska,Nuckolls County,"4500","4500","4514","4448","4431","4385","4349","4323","4273","4269","4190","4152","4129","4134"
"72","085","01804523","72085",Las Piedras,Las Piedras Municipio,"13",H1,G4020,"490","41980",,A,"87748359","32509","+18.1871483","-065.8711890",,,,,,,,,,,,,,,,,,,,,
"46","099","01265772","46099",Minnehaha,Minnehaha County,"06",H1,G4020,,"43620",,A,"2089691755","18198481","+43.6674723","-096.7957261","50","2","4","46","099",South Dakota,Minnehaha County,"169468","169474","169964","171482","174825","178062","180925","183563","186562","189786","191250","194153","196078","196659"
"48","327","01383949","48327",Menard,Menard County,"06",H1,G4020,,,,A,"2336237982","613559","+30.8852677","-099.8588613","50","3","7","48","327",Texas,Menard County,"2242","2242","2230","2215","2205","2138","2129","2135","2097","2115","2103","2099","2116","2124"
"06","091","00277310","06091",Sierra,Sierra County,"06",H1,G4020,,,,A,"2468694583","23299110","+39.5769252","-120.5219926","50","4","9","06","091",California,Sierra County,"3240","3239","3220","3100","3068","3031","2976","2990","2956","3008","2961","2959","2933","2920"
"21","053","00516873","21053",Clinton,Clinton County,"06",H1,G4020,,,,A,"510875755","21152699","+36.7272577","-085.1360977","50","3","6","21","053",Kentucky,Clinton County,"10272","10279","10256","10170","10282","10188","10218","10197","10209","10214","10142","10200","10138","10110"
"39","063","01074044","39063",Hancock,Hancock County,"06",H1,G4020,"534","22300",,A,"1376125660","6020647","+41.0004711","-083.6660335","50","2","3","39","063",Ohio,Hancock County,"74782","74790","74698","74926","75478","75612","75324","75726","75829","75984","75913","75690","75519","75407"
"48","189","01383880","48189",Hale,Hale County,"06",H1,G4020,"352","38380",,A,"2602109427","246678","+34.0684364","-101.8228879","50","3","7","48","189",Texas,Hale County,"36273","36207","36271","36383","36248","35660","34435","34010","34062","33901","33501","33098","32861","32754"
"01","027","00161539","01027",Clay,Clay County,"06",H1,G4020,,,,A,"1564251834","5285207","+33.2703999","-085.8635254","50","3","6","01","027",Alabama,Clay County,"13932","13930","13897","13687","13433","13406","13443","13415","13393","13355","13301","13265","13152","13112"
"48","011","01383791","48011",Armstrong,Armstrong County,"06",H1,G4020,"108","11100",,A,"2354581674","12219583","+34.9641790","-101.3566363","50","3","7","48","011",Texas,Armstrong County,"1901","1901","1902","1936","1953","1940","1914","1901","1838","1866","1859","1853","1873","1869"
"39","003","01074015","39003",Allen,Allen County,"06",H1,G4020,"338","30620",,A,"1042479889","11259523","+40.7716274","-084.1061032","50","2","3","39","003",Ohio,Allen County,"106331","106295","106342","105981","105251","105071","104886","104141","103691","103173","102747","102450","102184","101980"
"13","189","00348794","13189",McDuffie,McDuffie County,"06",H1,G4020,,"12260",,A,"666848710","23114025","+33.4796231","-082.4787331","50","3","5","13","189",Georgia,McDuffie County,"21875","21865","21803","21614","21630","21506","21529","21470","21481","21517","21545","21317","21195","21162"
