"State","PovertyRate","undefined"
"Mississippi","0.1978","585786"
"Louisiana","0.1888","871467"
"New Mexico","0.1859","392065"
"West Virginia","0.1766","310044"
"Kentucky","0.1665","747010"
"Arkansas","0.1631","496260"
"Alabama","0.1608","795989"
"Oklahoma","0.1493","598373"
"Tennessee","0.1424","996930"
"Michigan","0.1399","1398527"
"Georgia","0.1398","1528558"
"New York","0.1395","2681277"
"South Carolina","0.1388","741650"
"Arizona","0.1366","1043764"
"North Carolina","0.1358","1467591"
"Ohio","0.1354","1588343"
"Texas","0.1353","4072194"
"Missouri","0.1310","810045"
"California","0.1298","5149742"
"Florida","0.1294","2870487"
"Indiana","0.1269","867996"
"Illinois","0.1244","1557873"
"Oregon","0.1234","533527"
"Montana","0.1231","134605"
"South Dakota","0.1225","110553"
"Pennsylvania","0.1202","1539183"
"Nevada","0.1188","384690"
"Rhode Island","0.1184","125826"
"Idaho","0.1167","221256"
"Kansas","0.1157","337739"
"Maine","0.1126","153131"
"Iowa","0.1097","348122"
"Delaware","0.1096","109400"
"Wisconsin","0.1089","639160"
"Wyoming","0.1069","62257"
"Alaska","0.1067","76933"
"Vermont","0.1054","65652"
"Nebraska","0.1054","206579"
"North Dakota","0.1010","78198"
"Virginia","0.1002","865691"
"Washington","0.0995","785244"
"Massachusetts","0.0984","680962"
"New Jersey","0.0980","869081"
"Connecticut","0.0970","344146"
"Colorado","0.0949","565873"
"Hawaii","0.0932","130649"
"Minnesota","0.0917","526065"
"Maryland","0.0889","539991"
"Utah","0.0888","298537"
"New Hampshire","0.0716","98682"
