Variable:,tas
Country:,"United States"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-3.05,-4.03,2.12,6.85,13.76,18.30,22.30,20.64,15.39,10.61,2.63,-2.56
1902,-3.62,-2.56,1.84,7.62,14.39,18.24,20.60,19.91,15.07,10.04,3.23,-3.91
1903,-3.81,-4.28,2.51,7.18,13.11,17.25,20.34,19.77,15.10,9.45,1.54,-2.73
1904,-5.38,-3.81,1.89,7.21,13.49,17.82,20.30,19.34,15.97,9.70,3.23,-2.20
1905,-4.78,-4.30,4.60,8.01,13.24,18.27,20.34,20.30,16.24,8.52,3.50,-3.16
1906,-3.82,-1.60,0.25,8.58,13.26,17.86,20.54,20.06,16.78,9.25,2.07,-1.67
1907,-3.23,-2.19,3.83,6.34,11.72,17.05,20.61,19.70,15.82,9.45,2.06,-1.21
1908,-2.61,-1.95,3.24,8.38,12.92,17.68,20.93,19.45,16.03,8.39,2.93,-1.46
1909,-3.62,-1.81,1.45,6.59,12.51,18.42,20.76,20.57,15.60,8.95,3.63,-5.78
1910,-4.37,-4.37,5.85,8.56,13.02,18.06,21.22,19.64,16.61,10.38,2.35,-2.96
1911,-3.01,-1.54,3.04,6.94,13.90,19.34,20.69,19.72,16.81,9.67,0.42,-2.57
1912,-5.58,-2.41,0.31,8.13,14.03,17.35,20.59,19.28,15.18,9.53,3.13,-2.16
1913,-4.28,-3.13,1.33,8.04,13.62,18.59,20.89,20.68,15.35,8.57,4.29,-1.92
1914,-1.63,-3.23,2.02,7.89,14.11,18.93,21.45,20.17,15.70,10.81,3.61,-3.82
1915,-3.81,-0.96,0.93,10.05,12.93,17.50,20.24,19.37,16.05,10.05,3.34,-2.00
1916,-4.46,-2.33,2.07,7.80,13.02,17.32,21.47,20.13,15.57,9.29,1.88,-4.60
1917,-5.18,-3.11,1.23,6.82,11.17,17.55,21.38,19.79,15.77,8.08,2.75,-4.65
1918,-6.60,-2.00,3.62,6.58,13.56,19.38,20.72,20.35,14.91,10.74,1.62,-1.57
1919,-3.26,-2.31,1.88,8.02,13.44,18.45,21.53,20.32,16.58,9.09,1.31,-4.13
1920,-4.76,-1.16,1.22,5.32,12.74,17.74,20.55,19.40,16.13,9.79,1.73,-2.15
1921,-2.32,-0.75,4.77,7.71,13.36,19.24,21.58,20.33,16.69,10.38,3.24,-0.80
1922,-4.85,-2.70,1.39,7.56,13.65,18.95,20.60,20.40,17.04,10.53,2.68,-1.71
1923,-1.93,-3.29,0.70,7.42,13.24,18.21,21.39,20.21,16.26,9.15,3.58,-1.23
1924,-5.45,-1.40,0.97,6.60,12.40,18.39,20.13,20.13,15.00,9.84,3.47,-4.74
1925,-5.16,-0.40,3.60,9.63,13.53,18.99,21.36,20.07,17.06,8.21,2.44,-2.33
1926,-2.35,-0.03,2.31,7.92,14.04,18.49,21.12,20.50,16.05,10.64,2.84,-3.05
1927,-2.73,0.27,2.24,7.44,13.27,17.85,20.86,19.01,15.95,10.39,3.15,-4.44
1928,-2.22,-0.80,2.51,6.48,14.14,17.23,21.00,20.01,15.23,10.28,3.06,-1.63
1929,-4.59,-4.26,2.72,7.88,12.95,18.01,21.05,20.41,15.89,9.93,1.71,-1.70
1930,-6.03,0.22,1.42,9.33,13.07,18.31,21.82,20.71,16.49,8.79,2.03,-2.37
1931,-1.82,0.60,1.38,7.90,13.05,19.38,21.99,20.20,17.59,10.85,3.68,-1.08
1932,-3.61,-1.32,0.78,8.45,13.63,18.61,21.37,20.37,15.92,9.24,1.55,-3.65
1933,-2.56,-3.84,2.37,7.54,13.37,19.56,21.82,20.12,17.27,10.06,3.17,-1.42
1934,-2.43,-0.75,2.88,9.32,15.52,19.39,22.27,20.94,15.79,11.32,4.38,-1.69
1935,-3.09,-0.16,3.39,7.32,11.95,17.92,21.96,20.55,16.09,9.70,1.59,-3.31
1936,-4.76,-5.33,3.05,7.67,15.17,19.76,22.65,21.65,16.77,9.83,2.14,-1.77
1937,-4.72,-3.07,0.91,7.30,14.15,18.65,21.68,21.38,16.74,10.24,2.80,-2.15
1938,-3.09,-1.00,4.06,8.64,13.42,18.46,21.23,21.10,17.20,11.58,2.22,-1.23
1939,-2.18,-3.42,2.41,8.36,14.58,18.59,21.78,20.41,17.26,9.93,2.57,0.56
1940,-5.95,-1.38,2.51,8.36,14.14,18.98,21.56,20.39,16.54,11.12,1.80,-0.20
1941,-2.66,-1.10,1.60,8.91,14.63,18.29,21.29,20.53,16.10,10.39,3.11,-0.48
1942,-2.75,-2.22,2.20,9.23,13.35,18.27,21.42,20.26,15.93,10.33,2.90,-3.13
1943,-4.68,-0.15,1.00,8.88,13.53,18.80,21.52,20.85,15.85,10.00,3.03,-1.71
1944,-2.46,-0.61,0.82,6.77,14.47,18.44,20.88,20.23,16.27,10.74,2.74,-2.69
1945,-2.50,-0.65,4.06,7.29,12.35,17.01,20.84,20.21,16.18,9.92,2.12,-3.76
1946,-2.60,-1.23,4.08,9.33,12.89,18.48,21.42,19.69,15.94,9.87,2.37,-1.52
1947,-3.94,-2.65,1.23,7.96,13.64,17.54,20.94,21.00,16.80,12.07,1.65,-1.44
1948,-4.34,-3.05,0.76,8.84,13.54,18.63,20.93,20.01,16.46,9.43,2.15,-2.92
1949,-5.15,-3.22,2.75,7.96,14.04,18.43,21.42,20.34,15.93,10.09,5.13,-2.26
1950,-3.28,-1.85,1.63,6.92,13.24,18.17,20.21,19.55,15.69,11.55,1.87,-1.91
1951,-4.32,-1.68,0.21,7.65,14.05,17.55,21.31,20.33,15.89,9.67,1.55,-3.01
1952,-3.32,-0.95,0.51,7.99,13.37,19.38,21.40,20.56,16.51,9.67,2.86,-1.55
1953,-1.31,-0.59,3.09,7.26,13.35,19.43,21.61,20.34,16.79,10.80,3.79,-1.51
1954,-3.65,0.82,1.48,9.21,13.04,18.63,21.98,20.44,16.93,10.53,4.39,-2.54
1955,-3.35,-3.61,1.60,8.37,14.00,17.30,21.66,20.95,16.59,10.06,0.11,-3.10
1956,-3.90,-3.13,1.73,7.18,14.40,19.21,21.00,20.08,16.16,10.31,1.37,-1.60
1957,-4.42,0.04,2.60,8.15,13.52,18.87,21.58,20.44,15.92,9.12,2.79,-0.83
1958,-2.63,-2.38,1.10,8.02,14.71,18.49,20.93,20.98,16.44,9.76,3.23,-2.37
1959,-4.32,-1.65,1.31,7.95,13.99,19.29,20.97,20.82,16.09,9.40,1.42,-1.00
1960,-3.80,-2.66,-0.38,8.31,13.51,18.62,21.38,20.32,16.72,10.25,2.93,-2.35
1961,-3.28,-0.44,2.56,6.57,13.20,18.88,20.95,20.54,15.54,9.41,1.81,-4.06
1962,-5.03,-0.64,0.54,8.33,14.38,18.15,20.68,20.49,15.65,11.01,3.46,-1.88
1963,-5.63,-1.28,3.26,8.26,14.17,18.32,21.22,20.27,17.05,12.25,2.90,-3.78
1964,-3.23,-2.84,0.31,7.69,13.73,18.29,21.71,19.68,15.69,9.88,2.93,-3.75
1965,-3.29,-3.29,0.53,8.52,13.59,17.46,20.68,19.70,15.04,9.65,4.21,-1.22
