sampling_week,effective_concentration_rolling_average,region,state,name,fipscode
2020/1/1,134.8419636,Midwest,IL,"Peoria County, IL",17143
2020/3/4,1.740218538,Northeast,MA,"Suffolk County, MA",25025
2020/3/11,12.59034427,Northeast,MA,"Suffolk County, MA",25025
2020/3/18,58.02332206,Northeast,MA,"Suffolk County, MA",25025
2020/3/25,36.63175022,West,CO,"Arapahoe County, CO",8005
2020/3/25,4051.550869,Northeast,NJ,"Essex County, NJ",34013
2020/3/25,62.42551699,South,FL,"Miami-Dade County, FL",12086
2020/3/25,0,Midwest,IN,"Steuben County, IN",18151
2020/3/25,159.4548129,Northeast,MA,"Suffolk County, MA",25025
2020/4/1,2433.387972,Northeast,NJ,"Essex County, NJ",34013
2020/4/1,29.60517329,Northeast,MA,"Hampshire County, MA",25015
2020/4/1,141.444303,South,FL,"Miami-Dade County, FL",12086
2020/4/1,0,West,CA,"Placer County, CA",6061
2020/4/1,241.0907817,Northeast,MA,"Suffolk County, MA",25025
2020/4/1,0,West,OR,"Yamhill County, OR",41071
2020/4/8,289.5320861,West,OR,"Deschutes County, OR",41017
2020/4/8,5442.737621,Northeast,NJ,"Essex County, NJ",34013
2020/4/8,49.11110891,Northeast,MA,"Hampshire County, MA",25015
2020/4/8,0,South,KY,"Harrison County, KY",21097
2020/4/8,7.466506283,Northeast,PA,"Indiana County, PA",42063
2020/4/8,58.43136402,South,KY,"Jefferson County, KY",21111
2020/4/8,107.4338206,South,FL,"Miami-Dade County, FL",12086
2020/4/8,0,West,MT,"Park County, MT",30067
2020/4/8,0,West,CA,"Placer County, CA",6061
2020/4/8,0,Midwest,IN,"Steuben County, IN",18151
2020/4/8,388.8329419,Northeast,MA,"Suffolk County, MA",25025
2020/4/8,0,West,OR,"Yamhill County, OR",41071
2020/4/15,133.9046452,West,CO,"Arapahoe County, CO",8005
2020/4/15,110.0911722,West,OR,"Deschutes County, OR",41017
2020/4/15,7436.673098,Northeast,NJ,"Essex County, NJ",34013
2020/4/15,39.9315811,Northeast,CT,"Fairfield County, CT",9001
2020/4/15,109.0659028,Northeast,MA,"Hampshire County, MA",25015
2020/4/15,0,South,KY,"Harrison County, KY",21097
2020/4/15,18.3740892,Northeast,PA,"Indiana County, PA",42063
2020/4/15,177.7011781,South,KY,"Jefferson County, KY",21111
2020/4/15,69.44816407,South,FL,"Miami-Dade County, FL",12086
2020/4/15,61.2979698,Northeast,PA,"Montgomery County, PA",42091
2020/4/15,158.6087408,Northeast,DE,"New Castle County, DE",10003
2020/4/15,41.18705696,South,OK,"Oklahoma County, OK",40109
2020/4/15,0,West,MT,"Park County, MT",30067
2020/4/15,131.885628,Midwest,IL,"Peoria County, IL",17143
2020/4/15,0,West,CA,"Placer County, CA",6061
2020/4/15,14.79122993,Midwest,IN,"Steuben County, IN",18151
2020/4/15,390.8845671,Northeast,MA,"Suffolk County, MA",25025
2020/4/15,0,West,OR,"Yamhill County, OR",41071
2020/4/15,18.10472064,West,AZ,"Yavapai County, AZ",4025
2020/4/22,199.0879505,West,OR,"Deschutes County, OR",41017
2020/4/22,8837.006178,Northeast,NJ,"Essex County, NJ",34013
2020/4/22,29.6908859,Northeast,CT,"Fairfield County, CT",9001
2020/4/22,397.7609951,Northeast,MA,"Hampshire County, MA",25015
2020/4/22,0,South,KY,"Harrison County, KY",21097
2020/4/22,1149.176862,Midwest,MN,"Hennepin County, MN",27053
2020/4/22,4.484951214,Northeast,PA,"Indiana County, PA",42063
2020/4/22,329.7851031,South,KY,"Jefferson County, KY",21111
2020/4/22,86.25278443,South,FL,"Miami-Dade County, FL",12086
2020/4/22,370.9220412,Northeast,PA,"Montgomery County, PA",42091
2020/4/22,2292.034066,Northeast,NY,"Nassau County, NY",36059
2020/4/22,449.1985449,Northeast,DE,"New Castle County, DE",10003
2020/4/22,16.21725835,South,OK,"Oklahoma County, OK",40109
2020/4/22,0,West,MT,"Park County, MT",30067
2020/4/22,126.3773353,Midwest,IL,"Peoria County, IL",17143
2020/4/22,0,West,CA,"Placer County, CA",6061
2020/4/22,560.6598189,South,VA,"Stafford County, VA",51179
2020/4/22,65.60455474,Midwest,IN,"Steuben County, IN",18151
2020/4/22,297.2522333,Northeast,MA,"Suffolk County, MA",25025
2020/4/22,0,West,OR,"Yamhill County, OR",41071
2020/4/22,3.771816799,West,AZ,"Yavapai County, AZ",4025
2020/4/29,233.5536693,West,CO,"Arapahoe County, CO",8005
2020/4/29,49.77198763,West,OR,"Deschutes County, OR",41017
2020/4/29,2599.380746,Northeast,NJ,"Essex County, NJ",34013
2020/4/29,19.71485541,Northeast,CT,"Fairfield County, CT",9001
2020/4/29,138.5177987,Northeast,MA,"Hampshire County, MA",25015
2020/4/29,0,South,KY,"Harrison County, KY",21097
2020/4/29,1201.44691,Midwest,MN,"Hennepin County, MN",27053
2020/4/29,0,Northeast,PA,"Indiana County, PA",42063
2020/4/29,254.5147477,South,KY,"Jefferson County, KY",21111
2020/4/29,92.04709303,South,FL,"Miami-Dade County, FL",12086
2020/4/29,35.14149271,West,OR,"Multnomah County, OR",41051
2020/4/29,193.4633878,Northeast,DE,"New Castle County, DE",10003
2020/4/29,30.54648592,South,OK,"Oklahoma County, OK",40109
2020/4/29,0,West,MT,"Park County, MT",30067
